,place,team,score,captured_at
0,1,Special Weekend,1423424,2021-07-12 09:35:01.410367
1,2,RGBTeam,1363609,2021-07-12 09:35:01.410367
2,3,manarimo,1360256,2021-07-12 09:35:01.410367
3,4,Unagi,1242129,2021-07-12 09:35:01.410367
4,5,chirijako,1224824,2021-07-12 09:35:01.410367
5,6,DiamondPrincess,1167356,2021-07-12 09:35:01.410367
6,7,All In,1121785,2021-07-12 09:35:01.410367
7,8,fixstars,1017500,2021-07-12 09:35:01.410367
8,9,Closed and Restricted Boltzmann Machine ,953759,2021-07-12 09:35:01.410367
9,10,WILD BASHKORT MAGES,953380,2021-07-12 09:35:01.410367
10,11,Independent Set,933087,2021-07-12 09:35:01.410367
11,12,301,910399,2021-07-12 09:35:01.410367
12,13,Sosuupoyo(sugoi),909288,2021-07-12 09:35:01.410367
13,14,sanma,889010,2021-07-12 09:35:01.410367
14,15,Olympia,864820,2021-07-12 09:35:01.410367
15,16,All your poses are belong to us,861549,2021-07-12 09:35:01.410367
16,17,negainoido,859147,2021-07-12 09:35:01.410367
17,18,pegovka,843057,2021-07-12 09:35:01.410367
18,19,Folding at home,836389,2021-07-12 09:35:01.410367
19,20,CowDay,833575,2021-07-12 09:35:01.410367
20,21,lambda-llama,817711,2021-07-12 09:35:01.410367
21,22,KMC,806453,2021-07-12 09:35:01.410367
22,23,Pigimarl,801545,2021-07-12 09:35:01.410367
23,24,udfew,780822,2021-07-12 09:35:01.410367
24,25,Powder,765770,2021-07-12 09:35:01.410367
25,26,ichyo,750709,2021-07-12 09:35:01.410367
26,27,The Cat is #1!!,742698,2021-07-12 09:35:01.410367
27,28,Gon the Fox,718850,2021-07-12 09:35:01.410367
28,29,codingteam,710899,2021-07-12 09:35:01.410367
29,30,Side Effects May Include...,640568,2021-07-12 09:35:01.410367
30,31,"Snakes, Monkeys and Two Smoking Lambdas",637020,2021-07-12 09:35:01.410367
31,32,Aim Tech + Godnotent,635886,2021-07-12 09:35:01.410367
32,33,Rotten Lambdas,602397,2021-07-12 09:35:01.410367
33,34,ã°ã¬ã¼ã¹ããªã,595008,2021-07-12 09:35:01.410367
34,35,undefined,579102,2021-07-12 09:35:01.410367
35,36,Fish-Aobayama,574945,2021-07-12 09:35:01.410367
36,37,Zebra Infused Hamsters,569688,2021-07-12 09:35:01.410367
37,38,TBD,556131,2021-07-12 09:35:01.410367
38,39,THIRTEEN,542762,2021-07-12 09:35:01.410367
39,40,Dire Kettle,542415,2021-07-12 09:35:01.410367
40,41,okaduki,531389,2021-07-12 09:35:01.410367
41,42,kstm.org,527750,2021-07-12 09:35:01.410367
42,43,Chordify,523785,2021-07-12 09:35:01.410367
43,44,uni,507912,2021-07-12 09:35:01.410367
44,45,trup16,506418,2021-07-12 09:35:01.410367
45,46,ksmlb,505128,2021-07-12 09:35:01.410367
46,47,Frictionless Bananas,470427,2021-07-12 09:35:01.410367
47,48,xyznlp,461094,2021-07-12 09:35:01.410367
48,49,LILiK,459458,2021-07-12 09:35:01.410367
49,50,bowwowforeach,457660,2021-07-12 09:35:01.410367
50,51,The Wild Lobsters,449158,2021-07-12 09:35:01.410367
51,52,Bunny Girl Senpai,446998,2021-07-12 09:35:01.410367
52,53,The Blind Hen,446451,2021-07-12 09:35:01.410367
53,54,Yoshida Chicken Rice,445859,2021-07-12 09:35:01.410367
54,55,Raging Mushrooms,444533,2021-07-12 09:35:01.410367
55,56,Skobochka,441389,2021-07-12 09:35:01.410367
56,57,EgÃ©r a marson,438235,2021-07-12 09:35:01.410367
57,58,TeamDev,431690,2021-07-12 09:35:01.410367
58,59,Wheezards,427007,2021-07-12 09:35:01.410367
59,60,seladir (cw),410083,2021-07-12 09:35:01.410367
60,61,Cult of the Bound Variable,401823,2021-07-12 09:35:01.410367
61,62,ACCESS_VIOLATION,400620,2021-07-12 09:35:01.410367
62,63,Eldies,396234,2021-07-12 09:35:01.410367
63,64,mutability,384600,2021-07-12 09:35:01.410367
64,65,Vanilla Bears,379107,2021-07-12 09:35:01.410367
65,66,'; CREATE TABLE fun(); --,375432,2021-07-12 09:35:01.410367
66,67,Channable,370151,2021-07-12 09:35:01.410367
67,68,The PET in the wall,363378,2021-07-12 09:35:01.410367
68,69,Piggybank Software,362789,2021-07-12 09:35:01.410367
69,70,blue-poser,360847,2021-07-12 09:35:01.410367
70,71,ATS,353271,2021-07-12 09:35:01.410367
71,72,We didn't mean to use Python,338030,2021-07-12 09:35:01.410367
72,73,Goretz,336131,2021-07-12 09:35:01.410367
73,74,code-o-matic,324307,2021-07-12 09:35:01.410367
74,75,Sigmoid Freud,318721,2021-07-12 09:35:01.410367
75,76,Invisible Imp,313018,2021-07-12 09:35:01.410367
76,77,Rogue Operations,307919,2021-07-12 09:35:01.410367
77,78,cashto,305497,2021-07-12 09:35:01.410367
78,79,Nik & Tonsky,300057,2021-07-12 09:35:01.410367
79,80,uguu.org,299154,2021-07-12 09:35:01.410367
80,81,team classified,273103,2021-07-12 09:35:01.410367
81,82,IKS,265873,2021-07-12 09:35:01.410367
82,83,jabber.ru,259922,2021-07-12 09:35:01.410367
83,84,Bottle kids!,252939,2021-07-12 09:35:01.410367
84,85,xyz600,239711,2021-07-12 09:35:01.410367
85,86,The aRtful MUser,217825,2021-07-12 09:35:01.410367
86,87,Goto 11,214016,2021-07-12 09:35:01.410367
87,88,make_it_stream,213947,2021-07-12 09:35:01.410367
88,89,Sal's Pals,192733,2021-07-12 09:35:01.410367
89,90,yorofuwa,187630,2021-07-12 09:35:01.410367
90,91,geomon,183040,2021-07-12 09:35:01.410367
91,92,OMG ICFP FTW,180489,2021-07-12 09:35:01.410367
92,93,Thirty spokes to make a wheel,164305,2021-07-12 09:35:01.410367
93,94,taxidriver,151015,2021-07-12 09:35:01.410367
94,95,Team Sampou,149096,2021-07-12 09:35:01.410367
95,96,paiv,146208,2021-07-12 09:35:01.410367
96,97,blueboars team,137757,2021-07-12 09:35:01.410367
97,98,Netvorchesk,119817,2021-07-12 09:35:01.410367
98,99,The Higher Order Of Zeuxis,111955,2021-07-12 09:35:01.410367
99,100,balonit_bros,93054,2021-07-12 09:35:01.410367
100,101,NashFP,81442,2021-07-12 09:35:01.410367
101,102,cvnm,78901,2021-07-12 09:35:01.410367
102,103,bymski,78345,2021-07-12 09:35:01.410367
103,104,182020,77800,2021-07-12 09:35:01.410367
104,105,Sunspear,76630,2021-07-12 09:35:01.410367
105,106,WinterMUTE,74763,2021-07-12 09:35:01.410367
106,107,Corentin,73587,2021-07-12 09:35:01.410367
107,108,GD,72117,2021-07-12 09:35:01.410367
108,109,Not Enough TIme,72108,2021-07-12 09:35:01.410367
109,110,Sjoerd Visscher,67901,2021-07-12 09:35:01.410367
110,111,h25,67775,2021-07-12 09:35:01.410367
