,place,team,score,captured_at
0,1,Special Weekend,1434049,2021-07-12 05:34:09.086515
1,2,RGBTeam,1395723,2021-07-12 05:34:09.086515
2,3,manarimo,1368425,2021-07-12 05:34:09.086515
3,4,Unagi,1361877,2021-07-12 05:34:09.086515
4,5,chirijako,1232986,2021-07-12 05:34:09.086515
5,6,DiamondPrincess,1144414,2021-07-12 05:34:09.086515
6,7,All your poses are belong to us,1141718,2021-07-12 05:34:09.086515
7,8,All In,1140827,2021-07-12 05:34:09.086515
8,9,fixstars,1024598,2021-07-12 05:34:09.086515
9,10,negainoido,968596,2021-07-12 05:34:09.086515
10,11,WILD BASHKORT MAGES,926227,2021-07-12 05:34:09.086515
11,12,Independent Set,924611,2021-07-12 05:34:09.086515
12,13,301,895552,2021-07-12 05:34:09.086515
13,14,sanma,894372,2021-07-12 05:34:09.086515
14,15,Olympia,890073,2021-07-12 05:34:09.086515
15,16,pegovka,871203,2021-07-12 05:34:09.086515
16,17,CowDay,832567,2021-07-12 05:34:09.086515
17,18,Closed and Restricted Boltzmann Machine ,811148,2021-07-12 05:34:09.086515
18,19,Pigimarl,805369,2021-07-12 05:34:09.086515
19,20,Folding at home,796217,2021-07-12 05:34:09.086515
20,21,iehn,784032,2021-07-12 05:34:09.086515
21,22,KMC,779777,2021-07-12 05:34:09.086515
22,23,Sosuupoyo(sugoi),754151,2021-07-12 05:34:09.086515
23,24,Powder,735547,2021-07-12 05:34:09.086515
24,25,ichyo,734144,2021-07-12 05:34:09.086515
25,26,codingteam,714519,2021-07-12 05:34:09.086515
26,27,bowwowforeach,700948,2021-07-12 05:34:09.086515
27,28,Gon the Fox,697094,2021-07-12 05:34:09.086515
28,29,The Cat is #1!!,666301,2021-07-12 05:34:09.086515
29,30,Aim Tech + Godnotent,635886,2021-07-12 05:34:09.086515
30,31,lambda-llama,627925,2021-07-12 05:34:09.086515
31,32,Side Effects May Include...,614081,2021-07-12 05:34:09.086515
32,33,udfew,609525,2021-07-12 05:34:09.086515
33,34,ã°ã¬ã¼ã¹ããªã,599082,2021-07-12 05:34:09.086515
34,35,undefined,580827,2021-07-12 05:34:09.086515
35,36,Fish-Aobayama,576528,2021-07-12 05:34:09.086515
36,37,THIRTEEN,574680,2021-07-12 05:34:09.086515
37,38,Rotten Lambdas,572871,2021-07-12 05:34:09.086515
38,39,Zebra Infused Hamsters,566322,2021-07-12 05:34:09.086515
39,40,Cult of the Bound Variable,563841,2021-07-12 05:34:09.086515
40,41,TBD,563414,2021-07-12 05:34:09.086515
41,42,Skobochka,529037,2021-07-12 05:34:09.086515
