,place,team,score,captured_at
0,1,Special Weekend,1378357,2021-07-12 01:13:13.311764
1,2,RGBTeam,1342802,2021-07-12 01:13:13.311764
2,3,Unagi,1289265,2021-07-12 01:13:13.311764
3,4,manarimo,1275883,2021-07-12 01:13:13.311764
4,5,chirijako,1188311,2021-07-12 01:13:13.311764
5,6,All In,1137240,2021-07-12 01:13:13.311764
6,7,DiamondPrincess,1109252,2021-07-12 01:13:13.311764
7,8,Independent Set,924547,2021-07-12 01:13:13.311764
8,9,301,852555,2021-07-12 01:13:13.311764
9,10,Olympia,850368,2021-07-12 01:13:13.311764
10,11,fixstars,840533,2021-07-12 01:13:13.311764
11,12,sanma,823151,2021-07-12 01:13:13.311764
12,13,pegovka,793058,2021-07-12 01:13:13.311764
13,14,iehn,789948,2021-07-12 01:13:13.311764
14,15,negainoido,775687,2021-07-12 01:13:13.311764
15,16,CowDay,760733,2021-07-12 01:13:13.311764
16,17,Sosuupoyo(sugoi),748223,2021-07-12 01:13:13.311764
17,18,Folding at home,739945,2021-07-12 01:13:13.311764
18,19,bowwowforeach,706859,2021-07-12 01:13:13.311764
19,20,Closed and Restricted Boltzmann Machine ,699210,2021-07-12 01:13:13.311764
20,21,Gon the Fox,698700,2021-07-12 01:13:13.311764
21,22,WILD BASHKORT MAGES,678496,2021-07-12 01:13:13.311764
22,23,ichyo,671892,2021-07-12 01:13:13.311764
23,24,KMC,660132,2021-07-12 01:13:13.311764
24,25,Aim Tech + Godnotent,636656,2021-07-12 01:13:13.311764
25,26,Powder,607150,2021-07-12 01:13:13.311764
26,27,codingteam,589480,2021-07-12 01:13:13.311764
27,28,udfew,588915,2021-07-12 01:13:13.311764
28,29,lambda-llama,581831,2021-07-12 01:13:13.311764
29,30,Fish-Aobayama,576887,2021-07-12 01:13:13.311764
30,31,THIRTEEN,555254,2021-07-12 01:13:13.311764
31,32,Rotten Lambdas,545434,2021-07-12 01:13:13.311764
32,33,The Cat is #1!!,532753,2021-07-12 01:13:13.311764
33,34,Skobochka,524317,2021-07-12 01:13:13.311764
34,35,undefined,519018,2021-07-12 01:13:13.311764
35,36,Cult of the Bound Variable,505194,2021-07-12 01:13:13.311764
36,37,"Snakes, Monkeys and Two Smoking Lambdas",505075,2021-07-12 01:13:13.311764
37,38,kstm.org,500527,2021-07-12 01:13:13.311764
38,39,Side Effects May Include...,490648,2021-07-12 01:13:13.311764
39,40,Zebra Infused Hamsters,478666,2021-07-12 01:13:13.311764
40,41,okaduki,470216,2021-07-12 01:13:13.311764
41,42,Pigimarl,465334,2021-07-12 01:13:13.311764
42,43,Chordify,453222,2021-07-12 01:13:13.311764
43,44,Bunny Girl Senpai,447176,2021-07-12 01:13:13.311764
44,45,Yoshida Chicken Rice,447175,2021-07-12 01:13:13.311764
45,46,ã°ã¬ã¼ã¹ããªã,440271,2021-07-12 01:13:13.311764
46,47,trup16,409763,2021-07-12 01:13:13.311764
47,48,ksmlb,407495,2021-07-12 01:13:13.311764
48,49,mutability,384758,2021-07-12 01:13:13.311764
49,50,cwfork,371667,2021-07-12 01:13:13.311764
50,51,Raging Mushrooms,364018,2021-07-12 01:13:13.311764
51,52,LILiK,361112,2021-07-12 01:13:13.311764
52,53,xyznlp,357562,2021-07-12 01:13:13.311764
53,54,All your poses are belong to us,354048,2021-07-12 01:13:13.311764
54,55,ATS,353556,2021-07-12 01:13:13.311764
55,56,Eldies,350083,2021-07-12 01:13:13.311764
56,57,blue-poser,343288,2021-07-12 01:13:13.311764
57,58,Wheezards,340671,2021-07-12 01:13:13.311764
58,59,TBD,331933,2021-07-12 01:13:13.311764
59,60,'; CREATE TABLE fun(); --,328115,2021-07-12 01:13:13.311764
60,61,Vanilla Bears,317393,2021-07-12 01:13:13.311764
61,62,Channable,308868,2021-07-12 01:13:13.311764
62,63,Rogue Operations,301812,2021-07-12 01:13:13.311764
63,64,TeamDev,297406,2021-07-12 01:13:13.311764
64,65,Goretz,297301,2021-07-12 01:13:13.311764
65,66,EgÃ©r a marson,283390,2021-07-12 01:13:13.311764
66,67,ACCESS_VIOLATION,283217,2021-07-12 01:13:13.311764
67,68,uni,279266,2021-07-12 01:13:13.311764
68,69,uguu.org,277095,2021-07-12 01:13:13.311764
69,70,code-o-matic,273580,2021-07-12 01:13:13.311764
70,71,Frictionless Bananas,272570,2021-07-12 01:13:13.311764
71,72,Nik & Tonsky,268581,2021-07-12 01:13:13.311764
72,73,IKS,264296,2021-07-12 01:13:13.311764
73,74,We didn't mean to use Python,261055,2021-07-12 01:13:13.311764
74,75,jabber.ru,260012,2021-07-12 01:13:13.311764
75,76,xyz600,240150,2021-07-12 01:13:13.311764
76,77,Bottle kids!,237650,2021-07-12 01:13:13.311764
77,78,cashto,229536,2021-07-12 01:13:13.311764
78,79,team classified,223866,2021-07-12 01:13:13.311764
79,80,The Blind Hen,218188,2021-07-12 01:13:13.311764
80,81,Goto 11,209037,2021-07-12 01:13:13.311764
81,82,The aRtful MUser,194233,2021-07-12 01:13:13.311764
82,83,The Wild Lobsters,190899,2021-07-12 01:13:13.311764
83,84,Sigmoid Freud,188119,2021-07-12 01:13:13.311764
84,85,Piggybank Software,185040,2021-07-12 01:13:13.311764
85,86,geomon,183040,2021-07-12 01:13:13.311764
86,87,The PET in the wall,159005,2021-07-12 01:13:13.311764
87,88,Team Sampou,147771,2021-07-12 01:13:13.311764
88,89,paiv,147354,2021-07-12 01:13:13.311764
89,90,make_it_stream,139441,2021-07-12 01:13:13.311764
90,91,blueboars team,137927,2021-07-12 01:13:13.311764
91,92,yorofuwa,124049,2021-07-12 01:13:13.311764
92,93,Netvorchesk,119922,2021-07-12 01:13:13.311764
93,94,OMG ICFP FTW,112935,2021-07-12 01:13:13.311764
94,95,Sal's Pals,112375,2021-07-12 01:13:13.311764
95,96,cvnm,79061,2021-07-12 01:13:13.311764
96,97,h25,67937,2021-07-12 01:13:13.311764
97,98,Sjoerd Visscher,67901,2021-07-12 01:13:13.311764
98,99,182020,65564,2021-07-12 01:13:13.311764
99,100,Thirty spokes to make a wheel,62579,2021-07-12 01:13:13.311764
100,101,Sunspear,61599,2021-07-12 01:13:13.311764
101,102,hayatox,58119,2021-07-12 01:13:13.311764
102,103,Tetris Incompetence,58026,2021-07-12 01:13:13.311764
103,104,Overfull \hbox,56673,2021-07-12 01:13:13.311764
104,105,Lyrical Tokarev,56424,2021-07-12 01:13:13.311764
105,106,The Enigma of Anilambda Fold,56007,2021-07-12 01:13:13.311764
106,107,Ichigo Nudibranch,54665,2021-07-12 01:13:13.311764
107,108,WinterMUTE,51230,2021-07-12 01:13:13.311764
108,109,Not Enough TIme,46886,2021-07-12 01:13:13.311764
109,110, Î»x.,44149,2021-07-12 01:13:13.311764
110,111,Office 14,42720,2021-07-12 01:13:13.311764
111,112,NCPLUG,41019,2021-07-12 01:13:13.311764
112,113,raz,39335,2021-07-12 01:13:13.311764
113,114,taxidriver,38176,2021-07-12 01:13:13.311764
114,115,NashFP,36984,2021-07-12 01:13:13.311764
115,116,lost in sente,26734,2021-07-12 01:13:13.311764
116,117,RAINBOU,26303,2021-07-12 01:13:13.311764
117,118,sumoru,26286,2021-07-12 01:13:13.311764
118,119,qr0m4s4n_tÃ¸4m,25397,2021-07-12 01:13:13.311764
119,120,Free Tacos,25065,2021-07-12 01:13:13.311764
120,121,dis_functional,22957,2021-07-12 01:13:13.311764
121,122,R22b,18858,2021-07-12 01:13:13.311764
122,123,chaos,17337,2021-07-12 01:13:13.311764
123,124,bymski,17190,2021-07-12 01:13:13.311764
124,125,kineto,12979,2021-07-12 01:13:13.311764
125,126,Immutable,10563,2021-07-12 01:13:13.311764
126,127,georgia,10388,2021-07-12 01:13:13.311764
127,128,srush,8882,2021-07-12 01:13:13.311764
128,129,Corentin,8514,2021-07-12 01:13:13.311764
129,130,Appelsientje,6201,2021-07-12 01:13:13.311764
130,131,Slow,6115,2021-07-12 01:13:13.311764
131,132,erujolc,5404,2021-07-12 01:13:13.311764
132,133,Invisible Imp,5314,2021-07-12 01:13:13.311764
133,134,GD,5176,2021-07-12 01:13:13.311764
134,135,Bears ate our brains,4322,2021-07-12 01:13:13.311764
135,136,scalapendra,4031,2021-07-12 01:13:13.311764
136,137,Ty chyo pyos?,4031,2021-07-12 01:13:13.311764
137,138,Codermal,4031,2021-07-12 01:13:13.311764
138,139,nobu,4031,2021-07-12 01:13:13.311764
139,140,Foundation,4031,2021-07-12 01:13:13.311764
140,141,AFK,4031,2021-07-12 01:13:13.311764
141,142,concord,4031,2021-07-12 01:13:13.311764
142,143,cw,4031,2021-07-12 01:13:13.311764
143,144,B-Team,4031,2021-07-12 01:13:13.311764
144,145,bc,4031,2021-07-12 01:13:13.311764
145,146,frant1c,3960,2021-07-12 01:13:13.311764
146,147,balonit_bros,3862,2021-07-12 01:13:13.311764
147,148,DNIWE :: a,3522,2021-07-12 01:13:13.311764
148,149,mnuyav,3338,2021-07-12 01:13:13.311764
149,150,tanzaku,3106,2021-07-12 01:13:13.311764
150,151,Canivsar,3000,2021-07-12 01:13:13.311764
151,152,O,2170,2021-07-12 01:13:13.311764
152,153,comonad,2170,2021-07-12 01:13:13.311764
153,154,julia,2103,2021-07-12 01:13:13.311764
154,155,gorilla,1618,2021-07-12 01:13:13.311764
