,place,team,score,captured_at
0,1,Special Weekend,1427455,2021-07-12 06:44:24.321777
1,2,RGBTeam,1410140,2021-07-12 06:44:24.321777
2,3,manarimo,1364377,2021-07-12 06:44:24.321777
3,4,Unagi,1271069,2021-07-12 06:44:24.321777
4,5,chirijako,1228872,2021-07-12 06:44:24.321777
5,6,All your poses are belong to us,1170857,2021-07-12 06:44:24.321777
6,7,DiamondPrincess,1141005,2021-07-12 06:44:24.321777
7,8,All In,1124663,2021-07-12 06:44:24.321777
8,9,fixstars,1020691,2021-07-12 06:44:24.321777
9,10,negainoido,963624,2021-07-12 06:44:24.321777
10,11,Independent Set,921656,2021-07-12 06:44:24.321777
11,12,WILD BASHKORT MAGES,897924,2021-07-12 06:44:24.321777
12,13,301,896106,2021-07-12 06:44:24.321777
13,14,Olympia,894572,2021-07-12 06:44:24.321777
14,15,sanma,891715,2021-07-12 06:44:24.321777
15,16,Closed and Restricted Boltzmann Machine ,891595,2021-07-12 06:44:24.321777
16,17,pegovka,866746,2021-07-12 06:44:24.321777
17,18,CowDay,824951,2021-07-12 06:44:24.321777
18,19,Pigimarl,803260,2021-07-12 06:44:24.321777
19,20,KMC,801745,2021-07-12 06:44:24.321777
20,21,Folding at home,799288,2021-07-12 06:44:24.321777
21,22,iehn,781419,2021-07-12 06:44:24.321777
22,23,Sosuupoyo(sugoi),752583,2021-07-12 06:44:24.321777
23,24,ichyo,737190,2021-07-12 06:44:24.321777
24,25,Powder,733722,2021-07-12 06:44:24.321777
25,26,codingteam,712397,2021-07-12 06:44:24.321777
26,27,Gon the Fox,709318,2021-07-12 06:44:24.321777
27,28,bowwowforeach,702906,2021-07-12 06:44:24.321777
28,29,The Cat is #1!!,650147,2021-07-12 06:44:24.321777
29,30,udfew,645262,2021-07-12 06:44:24.321777
30,31,Aim Tech + Godnotent,635873,2021-07-12 06:44:24.321777
31,32,lambda-llama,635749,2021-07-12 06:44:24.321777
32,33,Side Effects May Include...,635072,2021-07-12 06:44:24.321777
33,34,ã°ã¬ã¼ã¹ããªã,596853,2021-07-12 06:44:24.321777
34,35,Cult of the Bound Variable,581102,2021-07-12 06:44:24.321777
35,36,Rotten Lambdas,580301,2021-07-12 06:44:24.321777
36,37,undefined,579926,2021-07-12 06:44:24.321777
37,38,Fish-Aobayama,575530,2021-07-12 06:44:24.321777
38,39,Zebra Infused Hamsters,571675,2021-07-12 06:44:24.321777
39,40,TBD,570830,2021-07-12 06:44:24.321777
40,41,"Snakes, Monkeys and Two Smoking Lambdas",537405,2021-07-12 06:44:24.321777
41,42,kstm.org,528645,2021-07-12 06:44:24.321777
42,43,THIRTEEN,525786,2021-07-12 06:44:24.321777
43,44,Skobochka,523606,2021-07-12 06:44:24.321777
44,45,okaduki,512479,2021-07-12 06:44:24.321777
45,46,uni,508571,2021-07-12 06:44:24.321777
46,47,ksmlb,481802,2021-07-12 06:44:24.321777
47,48,Chordify,472108,2021-07-12 06:44:24.321777
48,49,Bunny Girl Senpai,446991,2021-07-12 06:44:24.321777
49,50,Yoshida Chicken Rice,446302,2021-07-12 06:44:24.321777
50,51,xyznlp,444390,2021-07-12 06:44:24.321777
51,52,LILiK,442753,2021-07-12 06:44:24.321777
52,53,trup16,434627,2021-07-12 06:44:24.321777
53,54,Wheezards,427785,2021-07-12 06:44:24.321777
54,55,Dire Kettle,422495,2021-07-12 06:44:24.321777
55,56,The Wild Lobsters,420056,2021-07-12 06:44:24.321777
56,57,TeamDev,419426,2021-07-12 06:44:24.321777
57,58,seladir (cw),402917,2021-07-12 06:44:24.321777
58,59,Raging Mushrooms,393711,2021-07-12 06:44:24.321777
59,60,ACCESS_VIOLATION,387321,2021-07-12 06:44:24.321777
60,61,mutability,384600,2021-07-12 06:44:24.321777
61,62,EgÃ©r a marson,384129,2021-07-12 06:44:24.321777
62,63,'; CREATE TABLE fun(); --,375666,2021-07-12 06:44:24.321777
63,64,Vanilla Bears,367090,2021-07-12 06:44:24.321777
64,65,The PET in the wall,364294,2021-07-12 06:44:24.321777
65,66,blue-poser,360841,2021-07-12 06:44:24.321777
66,67,ATS,353254,2021-07-12 06:44:24.321777
67,68,Eldies,346186,2021-07-12 06:44:24.321777
68,69,Goretz,332678,2021-07-12 06:44:24.321777
69,70,Channable,330922,2021-07-12 06:44:24.321777
70,71,Piggybank Software,327601,2021-07-12 06:44:24.321777
71,72,Sigmoid Freud,315284,2021-07-12 06:44:24.321777
72,73,We didn't mean to use Python,314433,2021-07-12 06:44:24.321777
73,74,Rogue Operations,308543,2021-07-12 06:44:24.321777
74,75,Nik & Tonsky,303818,2021-07-12 06:44:24.321777
75,76,cashto,296890,2021-07-12 06:44:24.321777
76,77,uguu.org,288114,2021-07-12 06:44:24.321777
77,78,Frictionless Bananas,280600,2021-07-12 06:44:24.321777
78,79,code-o-matic,280229,2021-07-12 06:44:24.321777
79,80,Invisible Imp,276148,2021-07-12 06:44:24.321777
80,81,team classified,273108,2021-07-12 06:44:24.321777
81,82,The Blind Hen,267548,2021-07-12 06:44:24.321777
82,83,IKS,265871,2021-07-12 06:44:24.321777
