,place,team,score,captured_at
0,1,Special Weekend,1379168,2021-07-12 00:53:09.144807
1,2,RGBTeam,1343311,2021-07-12 00:53:09.144807
2,3,Unagi,1290229,2021-07-12 00:53:09.144807
3,4,manarimo,1276779,2021-07-12 00:53:09.144807
4,5,chirijako,1196103,2021-07-12 00:53:09.144807
5,6,All In,1125075,2021-07-12 00:53:09.144807
6,7,DiamondPrincess,1121132,2021-07-12 00:53:09.144807
7,8,Olympia,850826,2021-07-12 00:53:09.144807
8,9,301,845775,2021-07-12 00:53:09.144807
9,10,fixstars,841372,2021-07-12 00:53:09.144807
10,11,sanma,823683,2021-07-12 00:53:09.144807
11,12,pegovka,820337,2021-07-12 00:53:09.144807
12,13,iehn,790423,2021-07-12 00:53:09.144807
13,14,negainoido,776245,2021-07-12 00:53:09.144807
14,15,CowDay,751659,2021-07-12 00:53:09.144807
15,16,Sosuupoyo(sugoi),748223,2021-07-12 00:53:09.144807
16,17,Folding at home,740310,2021-07-12 00:53:09.144807
17,18,bowwowforeach,707255,2021-07-12 00:53:09.144807
18,19,Closed and Restricted Boltzmann Machine ,699210,2021-07-12 00:53:09.144807
19,20,Gon the Fox,687126,2021-07-12 00:53:09.144807
20,21,WILD BASHKORT MAGES,657069,2021-07-12 00:53:09.144807
21,22,KMC,652182,2021-07-12 00:53:09.144807
22,23,Independent Set,646905,2021-07-12 00:53:09.144807
23,24,Aim Tech + Godnotent,636656,2021-07-12 00:53:09.144807
24,25,ichyo,622258,2021-07-12 00:53:09.144807
25,26,Powder,607150,2021-07-12 00:53:09.144807
26,27,udfew,589319,2021-07-12 00:53:09.144807
27,28,lambda-llama,581831,2021-07-12 00:53:09.144807
28,29,Fish-Aobayama,559888,2021-07-12 00:53:09.144807
29,30,codingteam,557574,2021-07-12 00:53:09.144807
30,31,THIRTEEN,550460,2021-07-12 00:53:09.144807
31,32,Rotten Lambdas,536890,2021-07-12 00:53:09.144807
32,33,The Cat is #1!!,532728,2021-07-12 00:53:09.144807
33,34,Skobochka,518387,2021-07-12 00:53:09.144807
34,35,undefined,514981,2021-07-12 00:53:09.144807
35,36,"Snakes, Monkeys and Two Smoking Lambdas",505075,2021-07-12 00:53:09.144807
36,37,kstm.org,500813,2021-07-12 00:53:09.144807
37,38,Cult of the Bound Variable,491793,2021-07-12 00:53:09.144807
38,39,Side Effects May Include...,479256,2021-07-12 00:53:09.144807
39,40,Zebra Infused Hamsters,478690,2021-07-12 00:53:09.144807
40,41,okaduki,468728,2021-07-12 00:53:09.144807
41,42,Pigimarl,465334,2021-07-12 00:53:09.144807
42,43,Chordify,453222,2021-07-12 00:53:09.144807
43,44,Bunny Girl Senpai,447176,2021-07-12 00:53:09.144807
44,45,Yoshida Chicken Rice,447175,2021-07-12 00:53:09.144807
45,46,ã°ã¬ã¼ã¹ããªã,440271,2021-07-12 00:53:09.144807
46,47,trup16,409763,2021-07-12 00:53:09.144807
47,48,ksmlb,406075,2021-07-12 00:53:09.144807
48,49,mutability,384758,2021-07-12 00:53:09.144807
49,50,cwfork,371667,2021-07-12 00:53:09.144807
50,51,Raging Mushrooms,364018,2021-07-12 00:53:09.144807
51,52,xyznlp,357562,2021-07-12 00:53:09.144807
52,53,All your poses are belong to us,354048,2021-07-12 00:53:09.144807
53,54,ATS,353556,2021-07-12 00:53:09.144807
54,55,LILiK,352871,2021-07-12 00:53:09.144807
55,56,blue-poser,343380,2021-07-12 00:53:09.144807
56,57,TBD,331933,2021-07-12 00:53:09.144807
57,58,'; CREATE TABLE fun(); --,328115,2021-07-12 00:53:09.144807
58,59,Wheezards,326543,2021-07-12 00:53:09.144807
59,60,Vanilla Bears,312014,2021-07-12 00:53:09.144807
60,61,Channable,308868,2021-07-12 00:53:09.144807
61,62,Rogue Operations,308070,2021-07-12 00:53:09.144807
62,63,Goretz,297153,2021-07-12 00:53:09.144807
63,64,TeamDev,293697,2021-07-12 00:53:09.144807
64,65,EgÃ©r a marson,283373,2021-07-12 00:53:09.144807
65,66,ACCESS_VIOLATION,283217,2021-07-12 00:53:09.144807
66,67,uguu.org,277095,2021-07-12 00:53:09.144807
67,68,code-o-matic,273580,2021-07-12 00:53:09.144807
68,69,Frictionless Bananas,272570,2021-07-12 00:53:09.144807
69,70,Nik & Tonsky,268581,2021-07-12 00:53:09.144807
70,71,We didn't mean to use Python,261055,2021-07-12 00:53:09.144807
71,72,jabber.ru,260012,2021-07-12 00:53:09.144807
72,73,IKS,256232,2021-07-12 00:53:09.144807
73,74,uni,246520,2021-07-12 00:53:09.144807
74,75,xyz600,240150,2021-07-12 00:53:09.144807
75,76,Bottle kids!,237650,2021-07-12 00:53:09.144807
76,77,Eldies,233736,2021-07-12 00:53:09.144807
77,78,cashto,229536,2021-07-12 00:53:09.144807
78,79,team classified,223267,2021-07-12 00:53:09.144807
79,80,The Blind Hen,217855,2021-07-12 00:53:09.144807
80,81,Goto 11,202278,2021-07-12 00:53:09.144807
81,82,The Wild Lobsters,190899,2021-07-12 00:53:09.144807
82,83,The aRtful MUser,189400,2021-07-12 00:53:09.144807
83,84,Piggybank Software,185040,2021-07-12 00:53:09.144807
84,85,Sigmoid Freud,184364,2021-07-12 00:53:09.144807
85,86,geomon,183040,2021-07-12 00:53:09.144807
86,87,The PET in the wall,159005,2021-07-12 00:53:09.144807
87,88,paiv,147354,2021-07-12 00:53:09.144807
88,89,Team Sampou,146882,2021-07-12 00:53:09.144807
89,90,make_it_stream,139441,2021-07-12 00:53:09.144807
90,91,blueboars team,137927,2021-07-12 00:53:09.144807
91,92,yorofuwa,124049,2021-07-12 00:53:09.144807
92,93,Netvorchesk,119922,2021-07-12 00:53:09.144807
93,94,OMG ICFP FTW,112935,2021-07-12 00:53:09.144807
94,95,Sal's Pals,112375,2021-07-12 00:53:09.144807
95,96,cvnm,79061,2021-07-12 00:53:09.144807
96,97,h25,67937,2021-07-12 00:53:09.144807
97,98,Sjoerd Visscher,67901,2021-07-12 00:53:09.144807
98,99,Thirty spokes to make a wheel,62579,2021-07-12 00:53:09.144807
99,100,Sunspear,61599,2021-07-12 00:53:09.144807
100,101,hayatox,58119,2021-07-12 00:53:09.144807
101,102,Tetris Incompetence,58026,2021-07-12 00:53:09.144807
102,103,Overfull \hbox,56673,2021-07-12 00:53:09.144807
103,104,Lyrical Tokarev,56424,2021-07-12 00:53:09.144807
104,105,The Enigma of Anilambda Fold,56007,2021-07-12 00:53:09.144807
105,106,Ichigo Nudibranch,54665,2021-07-12 00:53:09.144807
106,107,WinterMUTE,51230,2021-07-12 00:53:09.144807
107,108,182020,50818,2021-07-12 00:53:09.144807
108,109,Not Enough TIme,46886,2021-07-12 00:53:09.144807
109,110, Î»x.,44149,2021-07-12 00:53:09.144807
110,111,Office 14,42720,2021-07-12 00:53:09.144807
111,112,NCPLUG,41019,2021-07-12 00:53:09.144807
112,113,raz,39335,2021-07-12 00:53:09.144807
113,114,NashFP,36984,2021-07-12 00:53:09.144807
114,115,taxidriver,34741,2021-07-12 00:53:09.144807
115,116,lost in sente,26734,2021-07-12 00:53:09.144807
116,117,RAINBOU,26303,2021-07-12 00:53:09.144807
117,118,sumoru,26286,2021-07-12 00:53:09.144807
118,119,qr0m4s4n_tÃ¸4m,25397,2021-07-12 00:53:09.144807
119,120,Free Tacos,25065,2021-07-12 00:53:09.144807
120,121,dis_functional,22957,2021-07-12 00:53:09.144807
121,122,R22b,18858,2021-07-12 00:53:09.144807
122,123,chaos,17337,2021-07-12 00:53:09.144807
123,124,bymski,17190,2021-07-12 00:53:09.144807
124,125,kineto,12979,2021-07-12 00:53:09.144807
125,126,Immutable,10563,2021-07-12 00:53:09.144807
126,127,georgia,10388,2021-07-12 00:53:09.144807
127,128,srush,8882,2021-07-12 00:53:09.144807
128,129,Corentin,8514,2021-07-12 00:53:09.144807
129,130,Appelsientje,6201,2021-07-12 00:53:09.144807
130,131,Slow,6115,2021-07-12 00:53:09.144807
131,132,erujolc,5404,2021-07-12 00:53:09.144807
132,133,Invisible Imp,5314,2021-07-12 00:53:09.144807
133,134,GD,5176,2021-07-12 00:53:09.144807
134,135,Bears ate our brains,4322,2021-07-12 00:53:09.144807
135,136,B-Team,4031,2021-07-12 00:53:09.144807
136,137,bc,4031,2021-07-12 00:53:09.144807
137,138,AFK,4031,2021-07-12 00:53:09.144807
138,139,scalapendra,4031,2021-07-12 00:53:09.144807
139,140,nobu,4031,2021-07-12 00:53:09.144807
140,141,Codermal,4031,2021-07-12 00:53:09.144807
141,142,Foundation,4031,2021-07-12 00:53:09.144807
142,143,Ty chyo pyos?,4031,2021-07-12 00:53:09.144807
143,144,concord,4031,2021-07-12 00:53:09.144807
144,145,cw,4031,2021-07-12 00:53:09.144807
145,146,frant1c,3960,2021-07-12 00:53:09.144807
146,147,balonit_bros,3862,2021-07-12 00:53:09.144807
147,148,DNIWE :: a,3522,2021-07-12 00:53:09.144807
148,149,tanzaku,3106,2021-07-12 00:53:09.144807
149,150,Canivsar,3000,2021-07-12 00:53:09.144807
150,151,comonad,2170,2021-07-12 00:53:09.144807
151,152,O,2170,2021-07-12 00:53:09.144807
152,153,julia,2103,2021-07-12 00:53:09.144807
153,154,gorilla,1618,2021-07-12 00:53:09.144807
