,place,team,score,captured_at
0,1,Unagi,1481452,2021-07-12 17:01:36.754041
1,2,Special Weekend,1439712,2021-07-12 17:01:36.754041
2,3,RGBTeam,1430443,2021-07-12 17:01:36.754041
3,4,manarimo,1426614,2021-07-12 17:01:36.754041
4,5,DiamondPrincess,1286529,2021-07-12 17:01:36.754041
5,6,chirijako,1280919,2021-07-12 17:01:36.754041
6,7,All your poses are belong to us,1219143,2021-07-12 17:01:36.754041
7,8,All In,1120458,2021-07-12 17:01:36.754041
8,9,Independent Set,1093637,2021-07-12 17:01:36.754041
9,10,negainoido,1081653,2021-07-12 17:01:36.754041
10,11,sanma,1069803,2021-07-12 17:01:36.754041
11,12,Closed and Restricted Boltzmann Machine ,1068875,2021-07-12 17:01:36.754041
12,13,Sosuupoyo(sugoi),1037230,2021-07-12 17:01:36.754041
13,14,WILD BASHKORT MAGES,1014044,2021-07-12 17:01:36.754041
14,15,fixstars,1002775,2021-07-12 17:01:36.754041
15,16,Pigimarl,987666,2021-07-12 17:01:36.754041
16,17,pegovka,952143,2021-07-12 17:01:36.754041
17,18,CowDay,936401,2021-07-12 17:01:36.754041
18,19,Frictionless Bananas,925895,2021-07-12 17:01:36.754041
19,20,Gon the Fox,923717,2021-07-12 17:01:36.754041
20,21,301,923460,2021-07-12 17:01:36.754041
21,22,"Snakes, Monkeys and Two Smoking Lambdas",914682,2021-07-12 17:01:36.754041
22,23,Olympia,901381,2021-07-12 17:01:36.754041
23,24,The Cat is #1!!,873941,2021-07-12 17:01:36.754041
24,25,Folding at home,866149,2021-07-12 17:01:36.754041
25,26,Powder,858898,2021-07-12 17:01:36.754041
26,27,lambda-llama,837576,2021-07-12 17:01:36.754041
27,28,KMC,835573,2021-07-12 17:01:36.754041
28,29,udfew,834893,2021-07-12 17:01:36.754041
29,30,iehn,826088,2021-07-12 17:01:36.754041
30,31,trup16,814731,2021-07-12 17:01:36.754041
31,32,Cult of the Bound Variable,814423,2021-07-12 17:01:36.754041
32,33,ã°ã¬ã¼ã¹ããªã,806795,2021-07-12 17:01:36.754041
33,34,codingteam,790522,2021-07-12 17:01:36.754041
34,35,ichyo,786757,2021-07-12 17:01:36.754041
35,36,bowwowforeach,745210,2021-07-12 17:01:36.754041
36,37,Rotten Lambdas,718311,2021-07-12 17:01:36.754041
37,38,Dire Kettle,701560,2021-07-12 17:01:36.754041
38,39,Fish-Aobayama,687503,2021-07-12 17:01:36.754041
39,40,Side Effects May Include...,634667,2021-07-12 17:01:36.754041
40,41,okaduki,634344,2021-07-12 17:01:36.754041
41,42,Aim Tech + Godnotent,632080,2021-07-12 17:01:36.754041
42,43,undefined,621906,2021-07-12 17:01:36.754041
43,44,Zebra Infused Hamsters,615951,2021-07-12 17:01:36.754041
44,45,THIRTEEN,587384,2021-07-12 17:01:36.754041
45,46,Skobochka,583514,2021-07-12 17:01:36.754041
46,47,EgÃ©r a marson,571607,2021-07-12 17:01:36.754041
47,48,The Blind Hen,569156,2021-07-12 17:01:36.754041
48,49,Channable,556858,2021-07-12 17:01:36.754041
49,50,ksmlb,548843,2021-07-12 17:01:36.754041
50,51,kstm.org,547291,2021-07-12 17:01:36.754041
51,52,uni,538312,2021-07-12 17:01:36.754041
52,53,Chordify,520374,2021-07-12 17:01:36.754041
53,54,xyznlp,520097,2021-07-12 17:01:36.754041
54,55,Raging Mushrooms,505529,2021-07-12 17:01:36.754041
55,56,Wheezards,500395,2021-07-12 17:01:36.754041
56,57,LILiK,467015,2021-07-12 17:01:36.754041
57,58,Bottle kids!,466882,2021-07-12 17:01:36.754041
58,59,TBD,464164,2021-07-12 17:01:36.754041
59,60,Invisible Imp,451897,2021-07-12 17:01:36.754041
60,61,The Wild Lobsters,446278,2021-07-12 17:01:36.754041
61,62,Bunny Girl Senpai,444407,2021-07-12 17:01:36.754041
62,63,Yoshida Chicken Rice,442688,2021-07-12 17:01:36.754041
63,64,uguu.org,437430,2021-07-12 17:01:36.754041
64,65,Eldies,429526,2021-07-12 17:01:36.754041
65,66,TeamDev,425503,2021-07-12 17:01:36.754041
66,67,Vanilla Bears,418578,2021-07-12 17:01:36.754041
67,68,seladir (cw),408479,2021-07-12 17:01:36.754041
68,69,ACCESS_VIOLATION,397829,2021-07-12 17:01:36.754041
69,70,Nik & Tonsky,386701,2021-07-12 17:01:36.754041
70,71,NashFP,384349,2021-07-12 17:01:36.754041
71,72,Goretz,384270,2021-07-12 17:01:36.754041
72,73,mutability,381901,2021-07-12 17:01:36.754041
73,74,OMG ICFP FTW,378445,2021-07-12 17:01:36.754041
74,75,'; CREATE TABLE fun(); --,373637,2021-07-12 17:01:36.754041
75,76,code-o-matic,366770,2021-07-12 17:01:36.754041
76,77,Piggybank Software,360812,2021-07-12 17:01:36.754041
