,place,team,score,captured_at
0,1,Special Weekend,1423586,2021-07-12 02:33:30.693650
1,2,RGBTeam,1370569,2021-07-12 02:33:30.693650
2,3,Unagi,1316970,2021-07-12 02:33:30.693650
3,4,manarimo,1273563,2021-07-12 02:33:30.693650
4,5,chirijako,1232975,2021-07-12 02:33:30.693650
5,6,DiamondPrincess,1151109,2021-07-12 02:33:30.693650
6,7,All In,1139638,2021-07-12 02:33:30.693650
7,8,Independent Set,927870,2021-07-12 02:33:30.693650
8,9,301,871787,2021-07-12 02:33:30.693650
9,10,Olympia,868538,2021-07-12 02:33:30.693650
10,11,pegovka,855218,2021-07-12 02:33:30.693650
11,12,sanma,846040,2021-07-12 02:33:30.693650
12,13,fixstars,838308,2021-07-12 02:33:30.693650
13,14,negainoido,830233,2021-07-12 02:33:30.693650
14,15,CowDay,828476,2021-07-12 02:33:30.693650
15,16,WILD BASHKORT MAGES,808870,2021-07-12 02:33:30.693650
16,17,iehn,787961,2021-07-12 02:33:30.693650
17,18,Pigimarl,776971,2021-07-12 02:33:30.693650
18,19,Folding at home,770437,2021-07-12 02:33:30.693650
19,20,Closed and Restricted Boltzmann Machine ,754978,2021-07-12 02:33:30.693650
20,21,All your poses are belong to us,748575,2021-07-12 02:33:30.693650
21,22,Sosuupoyo(sugoi),747196,2021-07-12 02:33:30.693650
22,23,bowwowforeach,704370,2021-07-12 02:33:30.693650
23,24,ichyo,702070,2021-07-12 02:33:30.693650
24,25,Gon the Fox,698065,2021-07-12 02:33:30.693650
25,26,KMC,682619,2021-07-12 02:33:30.693650
26,27,The Cat is #1!!,654515,2021-07-12 02:33:30.693650
27,28,Aim Tech + Godnotent,636656,2021-07-12 02:33:30.693650
28,29,Powder,621445,2021-07-12 02:33:30.693650
29,30,codingteam,618664,2021-07-12 02:33:30.693650
30,31,lambda-llama,611120,2021-07-12 02:33:30.693650
31,32,ã°ã¬ã¼ã¹ããªã,603180,2021-07-12 02:33:30.693650
32,33,udfew,588594,2021-07-12 02:33:30.693650
33,34,Fish-Aobayama,576887,2021-07-12 02:33:30.693650
34,35,THIRTEEN,553671,2021-07-12 02:33:30.693650
35,36,Rotten Lambdas,544494,2021-07-12 02:33:30.693650
36,37,undefined,528815,2021-07-12 02:33:30.693650
37,38,Skobochka,522730,2021-07-12 02:33:30.693650
38,39,Cult of the Bound Variable,521999,2021-07-12 02:33:30.693650
39,40,Zebra Infused Hamsters,509239,2021-07-12 02:33:30.693650
40,41,"Snakes, Monkeys and Two Smoking Lambdas",504921,2021-07-12 02:33:30.693650
41,42,kstm.org,503176,2021-07-12 02:33:30.693650
42,43,Side Effects May Include...,488943,2021-07-12 02:33:30.693650
43,44,okaduki,477526,2021-07-12 02:33:30.693650
44,45,Chordify,453222,2021-07-12 02:33:30.693650
45,46,Bunny Girl Senpai,447176,2021-07-12 02:33:30.693650
46,47,Yoshida Chicken Rice,446865,2021-07-12 02:33:30.693650
47,48,LILiK,439750,2021-07-12 02:33:30.693650
48,49,trup16,435116,2021-07-12 02:33:30.693650
49,50,ksmlb,422139,2021-07-12 02:33:30.693650
50,51,Wheezards,407355,2021-07-12 02:33:30.693650
51,52,cwfork,401897,2021-07-12 02:33:30.693650
52,53,uni,390486,2021-07-12 02:33:30.693650
53,54,ACCESS_VIOLATION,388876,2021-07-12 02:33:30.693650
54,55,mutability,384758,2021-07-12 02:33:30.693650
55,56,Raging Mushrooms,372519,2021-07-12 02:33:30.693650
56,57,xyznlp,366933,2021-07-12 02:33:30.693650
57,58,blue-poser,361031,2021-07-12 02:33:30.693650
58,59,ATS,353556,2021-07-12 02:33:30.693650
59,60,Eldies,349348,2021-07-12 02:33:30.693650
60,61,TBD,347194,2021-07-12 02:33:30.693650
61,62,'; CREATE TABLE fun(); --,327847,2021-07-12 02:33:30.693650
62,63,EgÃ©r a marson,316511,2021-07-12 02:33:30.693650
63,64,Vanilla Bears,314977,2021-07-12 02:33:30.693650
64,65,TeamDev,314805,2021-07-12 02:33:30.693650
65,66,Goretz,314585,2021-07-12 02:33:30.693650
66,67,Rogue Operations,310373,2021-07-12 02:33:30.693650
67,68,Channable,308868,2021-07-12 02:33:30.693650
68,69,The PET in the wall,290697,2021-07-12 02:33:30.693650
69,70,Frictionless Bananas,280775,2021-07-12 02:33:30.693650
70,71,uguu.org,279060,2021-07-12 02:33:30.693650
71,72,code-o-matic,273580,2021-07-12 02:33:30.693650
72,73,We didn't mean to use Python,272300,2021-07-12 02:33:30.693650
73,74,Nik & Tonsky,267557,2021-07-12 02:33:30.693650
74,75,IKS,264296,2021-07-12 02:33:30.693650
75,76,The Blind Hen,261564,2021-07-12 02:33:30.693650
76,77,jabber.ru,260012,2021-07-12 02:33:30.693650
77,78,xyz600,239990,2021-07-12 02:33:30.693650
78,79,Bottle kids!,237650,2021-07-12 02:33:30.693650
79,80,team classified,231644,2021-07-12 02:33:30.693650
80,81,cashto,229375,2021-07-12 02:33:30.693650
