,place,team,score,captured_at
0,1,Unagi,1460709,2021-07-12 10:35:14.484138
1,2,Special Weekend,1431622,2021-07-12 10:35:14.484138
2,3,RGBTeam,1415333,2021-07-12 10:35:14.484138
3,4,manarimo,1356291,2021-07-12 10:35:14.484138
4,5,chirijako,1219936,2021-07-12 10:35:14.484138
5,6,All your poses are belong to us,1190883,2021-07-12 10:35:14.484138
6,7,DiamondPrincess,1189254,2021-07-12 10:35:14.484138
7,8,All In,1118730,2021-07-12 10:35:14.484138
8,9,negainoido,1036548,2021-07-12 10:35:14.484138
9,10,fixstars,1013762,2021-07-12 10:35:14.484138
10,11,sanma,1003079,2021-07-12 10:35:14.484138
11,12,WILD BASHKORT MAGES,994283,2021-07-12 10:35:14.484138
12,13,Closed and Restricted Boltzmann Machine ,956383,2021-07-12 10:35:14.484138
13,14,Independent Set,930219,2021-07-12 10:35:14.484138
14,15,Sosuupoyo(sugoi),930108,2021-07-12 10:35:14.484138
15,16,301,907154,2021-07-12 10:35:14.484138
16,17,Olympia,895234,2021-07-12 10:35:14.484138
17,18,pegovka,864441,2021-07-12 10:35:14.484138
18,19,Folding at home,858948,2021-07-12 10:35:14.484138
19,20,CowDay,833410,2021-07-12 10:35:14.484138
20,21,The Cat is #1!!,825466,2021-07-12 10:35:14.484138
21,22,lambda-llama,816294,2021-07-12 10:35:14.484138
22,23,KMC,805576,2021-07-12 10:35:14.484138
23,24,Pigimarl,799111,2021-07-12 10:35:14.484138
24,25,udfew,796694,2021-07-12 10:35:14.484138
25,26,iehn,796053,2021-07-12 10:35:14.484138
26,27,Powder,785239,2021-07-12 10:35:14.484138
27,28,ichyo,755652,2021-07-12 10:35:14.484138
28,29,Gon the Fox,718390,2021-07-12 10:35:14.484138
29,30,"Snakes, Monkeys and Two Smoking Lambdas",717832,2021-07-12 10:35:14.484138
30,31,bowwowforeach,713458,2021-07-12 10:35:14.484138
31,32,codingteam,709631,2021-07-12 10:35:14.484138
32,33,Cult of the Bound Variable,656378,2021-07-12 10:35:14.484138
33,34,Frictionless Bananas,654968,2021-07-12 10:35:14.484138
34,35,Side Effects May Include...,638504,2021-07-12 10:35:14.484138
35,36,Aim Tech + Godnotent,635873,2021-07-12 10:35:14.484138
36,37,Rotten Lambdas,627191,2021-07-12 10:35:14.484138
37,38,ã°ã¬ã¼ã¹ããªã,593101,2021-07-12 10:35:14.484138
38,39,okaduki,584005,2021-07-12 10:35:14.484138
39,40,Zebra Infused Hamsters,579262,2021-07-12 10:35:14.484138
40,41,TBD,578185,2021-07-12 10:35:14.484138
41,42,undefined,577783,2021-07-12 10:35:14.484138
42,43,THIRTEEN,577148,2021-07-12 10:35:14.484138
43,44,Fish-Aobayama,574777,2021-07-12 10:35:14.484138
44,45,Dire Kettle,563512,2021-07-12 10:35:14.484138
