,place,team,score,captured_at
0,1,Unagi,1481355,2021-07-12 17:06:37.827604
1,2,Special Weekend,1439680,2021-07-12 17:06:37.827604
2,3,RGBTeam,1430418,2021-07-12 17:06:37.827604
3,4,manarimo,1426494,2021-07-12 17:06:37.827604
4,5,DiamondPrincess,1286431,2021-07-12 17:06:37.827604
5,6,chirijako,1280815,2021-07-12 17:06:37.827604
6,7,All your poses are belong to us,1219010,2021-07-12 17:06:37.827604
7,8,All In,1120375,2021-07-12 17:06:37.827604
8,9,Independent Set,1093523,2021-07-12 17:06:37.827604
9,10,negainoido,1082236,2021-07-12 17:06:37.827604
10,11,sanma,1069699,2021-07-12 17:06:37.827604
11,12,Closed and Restricted Boltzmann Machine ,1068793,2021-07-12 17:06:37.827604
12,13,Sosuupoyo(sugoi),1037123,2021-07-12 17:06:37.827604
13,14,WILD BASHKORT MAGES,1013945,2021-07-12 17:06:37.827604
14,15,fixstars,1002688,2021-07-12 17:06:37.827604
15,16,Pigimarl,987568,2021-07-12 17:06:37.827604
16,17,301,977007,2021-07-12 17:06:37.827604
17,18,pegovka,952051,2021-07-12 17:06:37.827604
18,19,CowDay,936322,2021-07-12 17:06:37.827604
19,20,Frictionless Bananas,925774,2021-07-12 17:06:37.827604
20,21,Gon the Fox,923626,2021-07-12 17:06:37.827604
21,22,"Snakes, Monkeys and Two Smoking Lambdas",914601,2021-07-12 17:06:37.827604
22,23,Olympia,901342,2021-07-12 17:06:37.827604
23,24,The Cat is #1!!,873853,2021-07-12 17:06:37.827604
24,25,Folding at home,866073,2021-07-12 17:06:37.827604
25,26,Powder,858818,2021-07-12 17:06:37.827604
26,27,lambda-llama,837520,2021-07-12 17:06:37.827604
27,28,KMC,837214,2021-07-12 17:06:37.827604
28,29,udfew,834819,2021-07-12 17:06:37.827604
29,30,iehn,826163,2021-07-12 17:06:37.827604
30,31,trup16,814712,2021-07-12 17:06:37.827604
31,32,Cult of the Bound Variable,814340,2021-07-12 17:06:37.827604
32,33,ã°ã¬ã¼ã¹ããªã,806710,2021-07-12 17:06:37.827604
33,34,codingteam,794021,2021-07-12 17:06:37.827604
34,35,ichyo,786821,2021-07-12 17:06:37.827604
35,36,bowwowforeach,745132,2021-07-12 17:06:37.827604
36,37,Rotten Lambdas,718233,2021-07-12 17:06:37.827604
37,38,Dire Kettle,701540,2021-07-12 17:06:37.827604
38,39,Fish-Aobayama,687485,2021-07-12 17:06:37.827604
39,40,Side Effects May Include...,634587,2021-07-12 17:06:37.827604
40,41,okaduki,634246,2021-07-12 17:06:37.827604
41,42,Aim Tech + Godnotent,632058,2021-07-12 17:06:37.827604
42,43,undefined,621830,2021-07-12 17:06:37.827604
43,44,Zebra Infused Hamsters,615866,2021-07-12 17:06:37.827604
44,45,THIRTEEN,587299,2021-07-12 17:06:37.827604
45,46,Skobochka,583446,2021-07-12 17:06:37.827604
46,47,Channable,576562,2021-07-12 17:06:37.827604
47,48,EgÃ©r a marson,571542,2021-07-12 17:06:37.827604
48,49,The Blind Hen,569072,2021-07-12 17:06:37.827604
49,50,ksmlb,561749,2021-07-12 17:06:37.827604
50,51,kstm.org,554735,2021-07-12 17:06:37.827604
51,52,uni,538311,2021-07-12 17:06:37.827604
52,53,Wheezards,524529,2021-07-12 17:06:37.827604
53,54,Raging Mushrooms,521070,2021-07-12 17:06:37.827604
54,55,Chordify,520374,2021-07-12 17:06:37.827604
55,56,xyznlp,520065,2021-07-12 17:06:37.827604
56,57,LILiK,467000,2021-07-12 17:06:37.827604
57,58,Bottle kids!,466882,2021-07-12 17:06:37.827604
58,59,Invisible Imp,451986,2021-07-12 17:06:37.827604
59,60,The Wild Lobsters,446218,2021-07-12 17:06:37.827604
60,61,Bunny Girl Senpai,444407,2021-07-12 17:06:37.827604
61,62,Yoshida Chicken Rice,442679,2021-07-12 17:06:37.827604
62,63,uguu.org,437430,2021-07-12 17:06:37.827604
63,64,Eldies,429437,2021-07-12 17:06:37.827604
64,65,TBD,425665,2021-07-12 17:06:37.827604
65,66,TeamDev,425437,2021-07-12 17:06:37.827604
66,67,Vanilla Bears,418494,2021-07-12 17:06:37.827604
67,68,seladir (cw),408471,2021-07-12 17:06:37.827604
68,69,ACCESS_VIOLATION,397817,2021-07-12 17:06:37.827604
69,70,OMG ICFP FTW,387536,2021-07-12 17:06:37.827604
70,71,Nik & Tonsky,386637,2021-07-12 17:06:37.827604
71,72,NashFP,384284,2021-07-12 17:06:37.827604
72,73,Goretz,384261,2021-07-12 17:06:37.827604
73,74,mutability,381882,2021-07-12 17:06:37.827604
74,75,'; CREATE TABLE fun(); --,373637,2021-07-12 17:06:37.827604
75,76,code-o-matic,366770,2021-07-12 17:06:37.827604
76,77,Piggybank Software,360737,2021-07-12 17:06:37.827604
77,78,The PET in the wall,359174,2021-07-12 17:06:37.827604
78,79,blue-poser,358958,2021-07-12 17:06:37.827604
79,80,ATS,351685,2021-07-12 17:06:37.827604
80,81,Sigmoid Freud,347277,2021-07-12 17:06:37.827604
81,82,qr0m4s4n_tÃ¸4m,346653,2021-07-12 17:06:37.827604
82,83,We didn't mean to use Python,336875,2021-07-12 17:06:37.827604
83,84,cashto,330593,2021-07-12 17:06:37.827604
84,85,Rogue Operations,305392,2021-07-12 17:06:37.827604
85,86,Thirty spokes to make a wheel,277014,2021-07-12 17:06:37.827604
86,87,make_it_stream,271300,2021-07-12 17:06:37.827604
87,88,team classified,270631,2021-07-12 17:06:37.827604
88,89,IKS,270586,2021-07-12 17:06:37.827604
89,90,The aRtful MUser,269106,2021-07-12 17:06:37.827604
90,91,Team Sampou,267970,2021-07-12 17:06:37.827604
91,92,jabber.ru,259102,2021-07-12 17:06:37.827604
92,93,yorofuwa,254240,2021-07-12 17:06:37.827604
93,94,xyz600,238819,2021-07-12 17:06:37.827604
94,95,Sal's Pals,226347,2021-07-12 17:06:37.827604
