,place,team,score,captured_at
0,1,Special Weekend,1379343,2021-07-12 00:58:10.186529
1,2,RGBTeam,1343312,2021-07-12 00:58:10.186529
2,3,Unagi,1290229,2021-07-12 00:58:10.186529
3,4,manarimo,1276779,2021-07-12 00:58:10.186529
4,5,chirijako,1196450,2021-07-12 00:58:10.186529
5,6,All In,1125075,2021-07-12 00:58:10.186529
6,7,DiamondPrincess,1121132,2021-07-12 00:58:10.186529
7,8,Olympia,850938,2021-07-12 00:58:10.186529
8,9,301,845775,2021-07-12 00:58:10.186529
9,10,fixstars,841372,2021-07-12 00:58:10.186529
10,11,pegovka,826337,2021-07-12 00:58:10.186529
11,12,sanma,823683,2021-07-12 00:58:10.186529
12,13,iehn,790423,2021-07-12 00:58:10.186529
13,14,negainoido,776245,2021-07-12 00:58:10.186529
14,15,CowDay,760733,2021-07-12 00:58:10.186529
15,16,Sosuupoyo(sugoi),748223,2021-07-12 00:58:10.186529
16,17,Folding at home,740310,2021-07-12 00:58:10.186529
17,18,bowwowforeach,707255,2021-07-12 00:58:10.186529
18,19,Closed and Restricted Boltzmann Machine ,699210,2021-07-12 00:58:10.186529
19,20,Gon the Fox,698700,2021-07-12 00:58:10.186529
20,21,WILD BASHKORT MAGES,657069,2021-07-12 00:58:10.186529
21,22,KMC,652182,2021-07-12 00:58:10.186529
22,23,Independent Set,646905,2021-07-12 00:58:10.186529
23,24,ichyo,643409,2021-07-12 00:58:10.186529
24,25,Aim Tech + Godnotent,636656,2021-07-12 00:58:10.186529
25,26,Powder,607150,2021-07-12 00:58:10.186529
26,27,udfew,589319,2021-07-12 00:58:10.186529
27,28,lambda-llama,581831,2021-07-12 00:58:10.186529
28,29,Fish-Aobayama,559888,2021-07-12 00:58:10.186529
29,30,codingteam,557574,2021-07-12 00:58:10.186529
30,31,THIRTEEN,550482,2021-07-12 00:58:10.186529
31,32,Rotten Lambdas,536890,2021-07-12 00:58:10.186529
32,33,The Cat is #1!!,532728,2021-07-12 00:58:10.186529
33,34,Skobochka,518387,2021-07-12 00:58:10.186529
34,35,undefined,514981,2021-07-12 00:58:10.186529
35,36,"Snakes, Monkeys and Two Smoking Lambdas",505075,2021-07-12 00:58:10.186529
36,37,kstm.org,500813,2021-07-12 00:58:10.186529
37,38,Cult of the Bound Variable,497653,2021-07-12 00:58:10.186529
38,39,Side Effects May Include...,490685,2021-07-12 00:58:10.186529
39,40,Zebra Infused Hamsters,478690,2021-07-12 00:58:10.186529
40,41,okaduki,468728,2021-07-12 00:58:10.186529
41,42,Pigimarl,465334,2021-07-12 00:58:10.186529
42,43,Chordify,453222,2021-07-12 00:58:10.186529
43,44,Bunny Girl Senpai,447176,2021-07-12 00:58:10.186529
44,45,Yoshida Chicken Rice,447175,2021-07-12 00:58:10.186529
45,46,ã°ã¬ã¼ã¹ããªã,440271,2021-07-12 00:58:10.186529
46,47,trup16,409763,2021-07-12 00:58:10.186529
47,48,ksmlb,406075,2021-07-12 00:58:10.186529
48,49,mutability,384758,2021-07-12 00:58:10.186529
49,50,cwfork,371667,2021-07-12 00:58:10.186529
50,51,Raging Mushrooms,364018,2021-07-12 00:58:10.186529
51,52,LILiK,359383,2021-07-12 00:58:10.186529
52,53,xyznlp,357562,2021-07-12 00:58:10.186529
53,54,All your poses are belong to us,354048,2021-07-12 00:58:10.186529
54,55,ATS,353556,2021-07-12 00:58:10.186529
55,56,Eldies,350083,2021-07-12 00:58:10.186529
56,57,blue-poser,343380,2021-07-12 00:58:10.186529
57,58,TBD,331933,2021-07-12 00:58:10.186529
58,59,'; CREATE TABLE fun(); --,328115,2021-07-12 00:58:10.186529
59,60,Wheezards,326543,2021-07-12 00:58:10.186529
60,61,Vanilla Bears,312014,2021-07-12 00:58:10.186529
61,62,Channable,308868,2021-07-12 00:58:10.186529
62,63,Rogue Operations,308070,2021-07-12 00:58:10.186529
63,64,TeamDev,297644,2021-07-12 00:58:10.186529
64,65,Goretz,297153,2021-07-12 00:58:10.186529
65,66,EgÃ©r a marson,283373,2021-07-12 00:58:10.186529
66,67,ACCESS_VIOLATION,283217,2021-07-12 00:58:10.186529
67,68,uguu.org,277095,2021-07-12 00:58:10.186529
68,69,code-o-matic,273580,2021-07-12 00:58:10.186529
69,70,Frictionless Bananas,272570,2021-07-12 00:58:10.186529
70,71,Nik & Tonsky,268581,2021-07-12 00:58:10.186529
71,72,IKS,264296,2021-07-12 00:58:10.186529
72,73,We didn't mean to use Python,261055,2021-07-12 00:58:10.186529
73,74,jabber.ru,260012,2021-07-12 00:58:10.186529
74,75,uni,246520,2021-07-12 00:58:10.186529
75,76,xyz600,240150,2021-07-12 00:58:10.186529
76,77,Bottle kids!,237650,2021-07-12 00:58:10.186529
77,78,cashto,229536,2021-07-12 00:58:10.186529
78,79,team classified,223267,2021-07-12 00:58:10.186529
79,80,The Blind Hen,217855,2021-07-12 00:58:10.186529
80,81,Goto 11,202278,2021-07-12 00:58:10.186529
81,82,The Wild Lobsters,190899,2021-07-12 00:58:10.186529
82,83,The aRtful MUser,189400,2021-07-12 00:58:10.186529
83,84,Sigmoid Freud,188119,2021-07-12 00:58:10.186529
84,85,Piggybank Software,185040,2021-07-12 00:58:10.186529
85,86,geomon,183040,2021-07-12 00:58:10.186529
86,87,The PET in the wall,159005,2021-07-12 00:58:10.186529
87,88,paiv,147354,2021-07-12 00:58:10.186529
88,89,Team Sampou,146882,2021-07-12 00:58:10.186529
89,90,make_it_stream,139441,2021-07-12 00:58:10.186529
90,91,blueboars team,137927,2021-07-12 00:58:10.186529
91,92,yorofuwa,124049,2021-07-12 00:58:10.186529
92,93,Netvorchesk,119922,2021-07-12 00:58:10.186529
93,94,OMG ICFP FTW,112935,2021-07-12 00:58:10.186529
94,95,Sal's Pals,112375,2021-07-12 00:58:10.186529
95,96,cvnm,79061,2021-07-12 00:58:10.186529
96,97,h25,67937,2021-07-12 00:58:10.186529
97,98,Sjoerd Visscher,67901,2021-07-12 00:58:10.186529
98,99,Thirty spokes to make a wheel,62579,2021-07-12 00:58:10.186529
99,100,Sunspear,61599,2021-07-12 00:58:10.186529
100,101,hayatox,58119,2021-07-12 00:58:10.186529
101,102,Tetris Incompetence,58026,2021-07-12 00:58:10.186529
102,103,Overfull \hbox,56673,2021-07-12 00:58:10.186529
103,104,Lyrical Tokarev,56424,2021-07-12 00:58:10.186529
104,105,The Enigma of Anilambda Fold,56007,2021-07-12 00:58:10.186529
105,106,Ichigo Nudibranch,54665,2021-07-12 00:58:10.186529
106,107,WinterMUTE,51230,2021-07-12 00:58:10.186529
107,108,182020,50818,2021-07-12 00:58:10.186529
108,109,Not Enough TIme,46886,2021-07-12 00:58:10.186529
