,place,team,score,captured_at
0,1,Special Weekend,1362546,2021-07-12 00:02:58.565870
1,2,RGBTeam,1322791,2021-07-12 00:02:58.565870
2,3,Unagi,1284459,2021-07-12 00:02:58.565870
3,4,manarimo,1275817,2021-07-12 00:02:58.565870
4,5,chirijako,1164874,2021-07-12 00:02:58.565870
5,6,All In,1138397,2021-07-12 00:02:58.565870
6,7,DiamondPrincess,1034676,2021-07-12 00:02:58.565870
7,8,301,850192,2021-07-12 00:02:58.565870
8,9,fixstars,842329,2021-07-12 00:02:58.565870
9,10,Olympia,842176,2021-07-12 00:02:58.565870
10,11,sanma,811238,2021-07-12 00:02:58.565870
11,12,iehn,792002,2021-07-12 00:02:58.565870
12,13,Sosuupoyo(sugoi),748223,2021-07-12 00:02:58.565870
13,14,negainoido,743814,2021-07-12 00:02:58.565870
14,15,CowDay,740624,2021-07-12 00:02:58.565870
15,16,pegovka,740480,2021-07-12 00:02:58.565870
16,17,bowwowforeach,713735,2021-07-12 00:02:58.565870
17,18,Closed and Restricted Boltzmann Machine ,693482,2021-07-12 00:02:58.565870
18,19,Gon the Fox,685866,2021-07-12 00:02:58.565870
19,20,KMC,648198,2021-07-12 00:02:58.565870
20,21,Independent Set,643082,2021-07-12 00:02:58.565870
21,22,Folding at home,640244,2021-07-12 00:02:58.565870
22,23,Aim Tech + Godnotent,636656,2021-07-12 00:02:58.565870
23,24,WILD BASHKORT MAGES,603683,2021-07-12 00:02:58.565870
24,25,ichyo,585336,2021-07-12 00:02:58.565870
25,26,udfew,582711,2021-07-12 00:02:58.565870
26,27,Powder,576111,2021-07-12 00:02:58.565870
27,28,Fish-Aobayama,559888,2021-07-12 00:02:58.565870
28,29,THIRTEEN,546355,2021-07-12 00:02:58.565870
29,30,The Cat is #1!!,532308,2021-07-12 00:02:58.565870
30,31,Rotten Lambdas,531900,2021-07-12 00:02:58.565870
31,32,Skobochka,524821,2021-07-12 00:02:58.565870
32,33,codingteam,515818,2021-07-12 00:02:58.565870
33,34,"Snakes, Monkeys and Two Smoking Lambdas",505154,2021-07-12 00:02:58.565870
34,35,lambda-llama,503637,2021-07-12 00:02:58.565870
35,36,kstm.org,499935,2021-07-12 00:02:58.565870
36,37,Cult of the Bound Variable,474859,2021-07-12 00:02:58.565870
37,38,okaduki,470615,2021-07-12 00:02:58.565870
38,39,Pigimarl,468365,2021-07-12 00:02:58.565870
39,40,undefined,466569,2021-07-12 00:02:58.565870
40,41,Side Effects May Include...,455369,2021-07-12 00:02:58.565870
41,42,Chordify,453222,2021-07-12 00:02:58.565870
42,43,Zebra Infused Hamsters,448194,2021-07-12 00:02:58.565870
43,44,Bunny Girl Senpai,447176,2021-07-12 00:02:58.565870
44,45,Yoshida Chicken Rice,447175,2021-07-12 00:02:58.565870
45,46,ã°ã¬ã¼ã¹ããªã,429196,2021-07-12 00:02:58.565870
46,47,trup16,415101,2021-07-12 00:02:58.565870
47,48,ksmlb,397006,2021-07-12 00:02:58.565870
48,49,mutability,384758,2021-07-12 00:02:58.565870
49,50,cwfork,373157,2021-07-12 00:02:58.565870
50,51,Raging Mushrooms,364434,2021-07-12 00:02:58.565870
51,52,xyznlp,355356,2021-07-12 00:02:58.565870
52,53,ATS,353556,2021-07-12 00:02:58.565870
53,54,blue-poser,343380,2021-07-12 00:02:58.565870
54,55,'; CREATE TABLE fun(); --,328115,2021-07-12 00:02:58.565870
55,56,All your poses are belong to us,319314,2021-07-12 00:02:58.565870
56,57,Wheezards,312040,2021-07-12 00:02:58.565870
57,58,Channable,308868,2021-07-12 00:02:58.565870
58,59,TBD,306318,2021-07-12 00:02:58.565870
59,60,Eldies,298841,2021-07-12 00:02:58.565870
60,61,Rogue Operations,291838,2021-07-12 00:02:58.565870
61,62,ACCESS_VIOLATION,283217,2021-07-12 00:02:58.565870
62,63,uguu.org,277095,2021-07-12 00:02:58.565870
63,64,Nik & Tonsky,274697,2021-07-12 00:02:58.565870
64,65,code-o-matic,273580,2021-07-12 00:02:58.565870
65,66,Frictionless Bananas,272570,2021-07-12 00:02:58.565870
66,67,EgÃ©r a marson,272234,2021-07-12 00:02:58.565870
67,68,TeamDev,267451,2021-07-12 00:02:58.565870
68,69,We didn't mean to use Python,261155,2021-07-12 00:02:58.565870
69,70,jabber.ru,260012,2021-07-12 00:02:58.565870
70,71,IKS,242635,2021-07-12 00:02:58.565870
71,72,Vanilla Bears,241318,2021-07-12 00:02:58.565870
72,73,LILiK,240201,2021-07-12 00:02:58.565870
73,74,xyz600,240150,2021-07-12 00:02:58.565870
74,75,Bottle kids!,237650,2021-07-12 00:02:58.565870
75,76,cashto,229622,2021-07-12 00:02:58.565870
76,77,uni,209290,2021-07-12 00:02:58.565870
77,78,team classified,207437,2021-07-12 00:02:58.565870
78,79,The Blind Hen,202843,2021-07-12 00:02:58.565870
79,80,Goto 11,194851,2021-07-12 00:02:58.565870
80,81,The Wild Lobsters,190899,2021-07-12 00:02:58.565870
81,82,geomon,183040,2021-07-12 00:02:58.565870
82,83,Piggybank Software,177429,2021-07-12 00:02:58.565870
83,84,Sigmoid Freud,175779,2021-07-12 00:02:58.565870
84,85,The aRtful MUser,174998,2021-07-12 00:02:58.565870
85,86,The PET in the wall,159005,2021-07-12 00:02:58.565870
86,87,Goretz,144548,2021-07-12 00:02:58.565870
87,88,Team Sampou,144168,2021-07-12 00:02:58.565870
88,89,paiv,139383,2021-07-12 00:02:58.565870
89,90,blueboars team,137927,2021-07-12 00:02:58.565870
90,91,yorofuwa,124049,2021-07-12 00:02:58.565870
91,92,make_it_stream,120428,2021-07-12 00:02:58.565870
92,93,Netvorchesk,119922,2021-07-12 00:02:58.565870
93,94,OMG ICFP FTW,112935,2021-07-12 00:02:58.565870
94,95,Sal's Pals,112375,2021-07-12 00:02:58.565870
95,96,cvnm,79061,2021-07-12 00:02:58.565870
96,97,h25,67937,2021-07-12 00:02:58.565870
97,98,Sjoerd Visscher,67901,2021-07-12 00:02:58.565870
98,99,Thirty spokes to make a wheel,62579,2021-07-12 00:02:58.565870
99,100,Sunspear,61599,2021-07-12 00:02:58.565870
100,101,hayatox,58119,2021-07-12 00:02:58.565870
101,102,Tetris Incompetence,58026,2021-07-12 00:02:58.565870
102,103,Overfull \hbox,56673,2021-07-12 00:02:58.565870
103,104,Lyrical Tokarev,56424,2021-07-12 00:02:58.565870
104,105,The Enigma of Anilambda Fold,56007,2021-07-12 00:02:58.565870
105,106,Ichigo Nudibranch,54665,2021-07-12 00:02:58.565870
106,107,WinterMUTE,51230,2021-07-12 00:02:58.565870
107,108,182020,50818,2021-07-12 00:02:58.565870
108,109,Not Enough TIme,46886,2021-07-12 00:02:58.565870
109,110, Î»x.,44149,2021-07-12 00:02:58.565870
110,111,Office 14,42720,2021-07-12 00:02:58.565870
111,112,NCPLUG,41019,2021-07-12 00:02:58.565870
112,113,raz,39335,2021-07-12 00:02:58.565870
113,114,NashFP,36984,2021-07-12 00:02:58.565870
114,115,RAINBOU,26303,2021-07-12 00:02:58.565870
115,116,sumoru,26286,2021-07-12 00:02:58.565870
116,117,qr0m4s4n_tÃ¸4m,25397,2021-07-12 00:02:58.565870
117,118,Free Tacos,25065,2021-07-12 00:02:58.565870
118,119,taxidriver,23998,2021-07-12 00:02:58.565870
119,120,dis_functional,22900,2021-07-12 00:02:58.565870
120,121,lost in sente,22577,2021-07-12 00:02:58.565870
121,122,R22b,18858,2021-07-12 00:02:58.565870
122,123,chaos,17337,2021-07-12 00:02:58.565870
123,124,bymski,16749,2021-07-12 00:02:58.565870
124,125,kineto,12979,2021-07-12 00:02:58.565870
125,126,Immutable,10563,2021-07-12 00:02:58.565870
126,127,georgia,10388,2021-07-12 00:02:58.565870
127,128,srush,8882,2021-07-12 00:02:58.565870
128,129,Corentin,8514,2021-07-12 00:02:58.565870
129,130,Appelsientje,6201,2021-07-12 00:02:58.565870
130,131,Slow,6115,2021-07-12 00:02:58.565870
131,132,erujolc,5404,2021-07-12 00:02:58.565870
132,133,Invisible Imp,5314,2021-07-12 00:02:58.565870
133,134,GD,5176,2021-07-12 00:02:58.565870
134,135,Bears ate our brains,4322,2021-07-12 00:02:58.565870
135,136,Codermal,4031,2021-07-12 00:02:58.565870
136,137,Foundation,4031,2021-07-12 00:02:58.565870
137,138,B-Team,4031,2021-07-12 00:02:58.565870
138,139,bc,4031,2021-07-12 00:02:58.565870
139,140,AFK,4031,2021-07-12 00:02:58.565870
140,141,concord,4031,2021-07-12 00:02:58.565870
141,142,cw,4031,2021-07-12 00:02:58.565870
142,143,nobu,4031,2021-07-12 00:02:58.565870
143,144,Ty chyo pyos?,4031,2021-07-12 00:02:58.565870
144,145,scalapendra,4031,2021-07-12 00:02:58.565870
145,146,frant1c,3960,2021-07-12 00:02:58.565870
146,147,balonit_bros,3862,2021-07-12 00:02:58.565870
147,148,DNIWE :: a,3522,2021-07-12 00:02:58.565870
148,149,Canivsar,3000,2021-07-12 00:02:58.565870
149,150,comonad,2170,2021-07-12 00:02:58.565870
150,151,O,2170,2021-07-12 00:02:58.565870
151,152,julia,2103,2021-07-12 00:02:58.565870
152,153,gorilla,1618,2021-07-12 00:02:58.565870
