,place,team,score,captured_at
103,104,WinterMUTE,139632,2021-07-12 20:47:24.712966
104,105,paiv,136891,2021-07-12 20:47:24.712966
105,106,blueboars team,134731,2021-07-12 20:47:24.712966
106,107,Netvorchesk,107574,2021-07-12 20:47:24.712966
107,108,Free Tacos,105932,2021-07-12 20:47:24.712966
108,109,balonit_bros,95180,2021-07-12 20:47:24.712966
109,110,The Enigma of Anilambda Fold,83304,2021-07-12 20:47:24.712966
110,111,GD,79331,2021-07-12 20:47:24.712966
111,112,Corentin,79183,2021-07-12 20:47:24.712966
112,113,Not Enough TIme,72108,2021-07-12 20:47:24.712966
113,114,Sjoerd Visscher,67901,2021-07-12 20:47:24.712966
114,115,cvnm,67652,2021-07-12 20:47:24.712966
115,116,h25,64855,2021-07-12 20:47:24.712966
116,117,Tetris Incompetence,57296,2021-07-12 20:47:24.712966
117,118,Overfull \hbox,56673,2021-07-12 20:47:24.712966
118,119,Ichigo Nudibranch,51176,2021-07-12 20:47:24.712966
119,120,Lyrical Tokarev,50891,2021-07-12 20:47:24.712966
120,121,hayatox,49968,2021-07-12 20:47:24.712966
121,122,raz,43590,2021-07-12 20:47:24.712966
122,123, Î»x.,43419,2021-07-12 20:47:24.712966
123,124,Office 14,40783,2021-07-12 20:47:24.712966
124,125,NCPLUG,40289,2021-07-12 20:47:24.712966
125,126,dis_functional,30083,2021-07-12 20:47:24.712966
126,127,lost in sente,26734,2021-07-12 20:47:24.712966
127,128,sumoru,25556,2021-07-12 20:47:24.712966
128,129,chaos,20891,2021-07-12 20:47:24.712966
129,130,RAINBOU,20206,2021-07-12 20:47:24.712966
130,131,R22b,18128,2021-07-12 20:47:24.712966
131,132,"I, Albatross",17611,2021-07-12 20:47:24.712966
132,133,mnuyav,13789,2021-07-12 20:47:24.712966
133,134,kineto,12979,2021-07-12 20:47:24.712966
134,135,Immutable,10563,2021-07-12 20:47:24.712966
135,136,georgia,9591,2021-07-12 20:47:24.712966
136,137,True Neutrals,8708,2021-07-12 20:47:24.712966
137,138,srush,7354,2021-07-12 20:47:24.712966
138,139,Slow,6115,2021-07-12 20:47:24.712966
139,140,Appelsientje,5471,2021-07-12 20:47:24.712966
140,141,erujolc,5404,2021-07-12 20:47:24.712966
141,142,Junk Food,5390,2021-07-12 20:47:24.712966
142,143,Bears ate our brains,4322,2021-07-12 20:47:24.712966
143,144,frant1c,3960,2021-07-12 20:47:24.712966
144,145,DNIWE :: a,3522,2021-07-12 20:47:24.712966
145,146,Codermal,3301,2021-07-12 20:47:24.712966
146,147,B-Team,3301,2021-07-12 20:47:24.712966
147,148,bc,3301,2021-07-12 20:47:24.712966
148,149,nobu,3301,2021-07-12 20:47:24.712966
149,150,scalapendra,3301,2021-07-12 20:47:24.712966
150,151,AFK,3301,2021-07-12 20:47:24.712966
151,152,cw,3301,2021-07-12 20:47:24.712966
152,153,Foundation,3301,2021-07-12 20:47:24.712966
153,154,concord,3301,2021-07-12 20:47:24.712966
154,155,Ty chyo pyos?,3301,2021-07-12 20:47:24.712966
155,156,Canivsar,3000,2021-07-12 20:47:24.712966
156,157,comonad,2170,2021-07-12 20:47:24.712966
157,158,O,2170,2021-07-12 20:47:24.712966
158,159,gorilla,1208,2021-07-12 20:47:24.712966
159,160,julia,694,2021-07-12 20:47:24.712966
