,place,team,score,captured_at
0,1,Special Weekend,1361446,2021-07-12 00:13:00.672153
1,2,RGBTeam,1322073,2021-07-12 00:13:00.672153
2,3,Unagi,1283470,2021-07-12 00:13:00.672153
3,4,manarimo,1274925,2021-07-12 00:13:00.672153
4,5,chirijako,1176497,2021-07-12 00:13:00.672153
5,6,All In,1137438,2021-07-12 00:13:00.672153
6,7,DiamondPrincess,1117871,2021-07-12 00:13:00.672153
7,8,Olympia,862640,2021-07-12 00:13:00.672153
8,9,301,849374,2021-07-12 00:13:00.672153
9,10,fixstars,841453,2021-07-12 00:13:00.672153
10,11,sanma,819911,2021-07-12 00:13:00.672153
11,12,iehn,791351,2021-07-12 00:13:00.672153
12,13,pegovka,778187,2021-07-12 00:13:00.672153
13,14,negainoido,760317,2021-07-12 00:13:00.672153
14,15,Sosuupoyo(sugoi),748223,2021-07-12 00:13:00.672153
15,16,CowDay,740624,2021-07-12 00:13:00.672153
16,17,bowwowforeach,713273,2021-07-12 00:13:00.672153
17,18,Closed and Restricted Boltzmann Machine ,693482,2021-07-12 00:13:00.672153
18,19,Gon the Fox,685866,2021-07-12 00:13:00.672153
19,20,Folding at home,660530,2021-07-12 00:13:00.672153
20,21,KMC,653758,2021-07-12 00:13:00.672153
21,22,Independent Set,643082,2021-07-12 00:13:00.672153
22,23,Aim Tech + Godnotent,636656,2021-07-12 00:13:00.672153
23,24,WILD BASHKORT MAGES,603683,2021-07-12 00:13:00.672153
24,25,Powder,591380,2021-07-12 00:13:00.672153
25,26,udfew,589407,2021-07-12 00:13:00.672153
26,27,ichyo,585228,2021-07-12 00:13:00.672153
27,28,Fish-Aobayama,559888,2021-07-12 00:13:00.672153
28,29,lambda-llama,553291,2021-07-12 00:13:00.672153
29,30,THIRTEEN,547651,2021-07-12 00:13:00.672153
30,31,Rotten Lambdas,536025,2021-07-12 00:13:00.672153
31,32,The Cat is #1!!,532308,2021-07-12 00:13:00.672153
32,33,Skobochka,524294,2021-07-12 00:13:00.672153
33,34,codingteam,515818,2021-07-12 00:13:00.672153
34,35,"Snakes, Monkeys and Two Smoking Lambdas",505154,2021-07-12 00:13:00.672153
35,36,kstm.org,499337,2021-07-12 00:13:00.672153
36,37,Cult of the Bound Variable,484415,2021-07-12 00:13:00.672153
37,38,okaduki,469643,2021-07-12 00:13:00.672153
38,39,Pigimarl,468365,2021-07-12 00:13:00.672153
39,40,undefined,466426,2021-07-12 00:13:00.672153
40,41,Side Effects May Include...,455369,2021-07-12 00:13:00.672153
41,42,Chordify,453222,2021-07-12 00:13:00.672153
42,43,Zebra Infused Hamsters,448644,2021-07-12 00:13:00.672153
43,44,Bunny Girl Senpai,447176,2021-07-12 00:13:00.672153
44,45,Yoshida Chicken Rice,447175,2021-07-12 00:13:00.672153
45,46,ã°ã¬ã¼ã¹ããªã,429196,2021-07-12 00:13:00.672153
46,47,trup16,415101,2021-07-12 00:13:00.672153
47,48,ksmlb,398043,2021-07-12 00:13:00.672153
48,49,mutability,384758,2021-07-12 00:13:00.672153
49,50,cwfork,373113,2021-07-12 00:13:00.672153
