,place,team,score,captured_at
0,1,Special Weekend,1424127,2021-07-12 08:24:46.401655
1,2,manarimo,1361120,2021-07-12 08:24:46.401655
2,3,RGBTeam,1332023,2021-07-12 08:24:46.401655
3,4,chirijako,1225405,2021-07-12 08:24:46.401655
4,5,DiamondPrincess,1124165,2021-07-12 08:24:46.401655
5,6,Unagi,1123112,2021-07-12 08:24:46.401655
6,7,All In,1122035,2021-07-12 08:24:46.401655
7,8,All your poses are belong to us,1085681,2021-07-12 08:24:46.401655
8,9,negainoido,1018609,2021-07-12 08:24:46.401655
9,10,fixstars,1018296,2021-07-12 08:24:46.401655
10,11,Closed and Restricted Boltzmann Machine ,930211,2021-07-12 08:24:46.401655
11,12,Independent Set,919068,2021-07-12 08:24:46.401655
12,13,Sosuupoyo(sugoi),913193,2021-07-12 08:24:46.401655
13,14,WILD BASHKORT MAGES,910472,2021-07-12 08:24:46.401655
14,15,301,896139,2021-07-12 08:24:46.401655
15,16,sanma,889625,2021-07-12 08:24:46.401655
16,17,Olympia,883782,2021-07-12 08:24:46.401655
17,18,pegovka,854931,2021-07-12 08:24:46.401655
18,19,CowDay,833640,2021-07-12 08:24:46.401655
19,20,KMC,806795,2021-07-12 08:24:46.401655
20,21,Pigimarl,801687,2021-07-12 08:24:46.401655
21,22,Folding at home,792441,2021-07-12 08:24:46.401655
22,23,iehn,779693,2021-07-12 08:24:46.401655
23,24,udfew,755800,2021-07-12 08:24:46.401655
24,25,Powder,749210,2021-07-12 08:24:46.401655
25,26,ichyo,744455,2021-07-12 08:24:46.401655
26,27,lambda-llama,720443,2021-07-12 08:24:46.401655
27,28,codingteam,711606,2021-07-12 08:24:46.401655
28,29,Gon the Fox,705756,2021-07-12 08:24:46.401655
29,30,bowwowforeach,701440,2021-07-12 08:24:46.401655
30,31,Aim Tech + Godnotent,635886,2021-07-12 08:24:46.401655
31,32,Side Effects May Include...,634215,2021-07-12 08:24:46.401655
32,33,ã°ã¬ã¼ã¹ããªã,595459,2021-07-12 08:24:46.401655
33,34,The Cat is #1!!,593716,2021-07-12 08:24:46.401655
34,35,Rotten Lambdas,579708,2021-07-12 08:24:46.401655
35,36,undefined,579285,2021-07-12 08:24:46.401655
36,37,Fish-Aobayama,574945,2021-07-12 08:24:46.401655
37,38,Zebra Infused Hamsters,570310,2021-07-12 08:24:46.401655
38,39,TBD,564260,2021-07-12 08:24:46.401655
39,40,"Snakes, Monkeys and Two Smoking Lambdas",555248,2021-07-12 08:24:46.401655
40,41,THIRTEEN,551503,2021-07-12 08:24:46.401655
41,42,kstm.org,528042,2021-07-12 08:24:46.401655
42,43,Dire Kettle,513634,2021-07-12 08:24:46.401655
43,44,Cult of the Bound Variable,509007,2021-07-12 08:24:46.401655
44,45,uni,508415,2021-07-12 08:24:46.401655
45,46,ksmlb,505007,2021-07-12 08:24:46.401655
46,47,okaduki,501712,2021-07-12 08:24:46.401655
47,48,xyznlp,461094,2021-07-12 08:24:46.401655
48,49,Bunny Girl Senpai,446998,2021-07-12 08:24:46.401655
49,50,Skobochka,446551,2021-07-12 08:24:46.401655
50,51,Yoshida Chicken Rice,446111,2021-07-12 08:24:46.401655
51,52,LILiK,442481,2021-07-12 08:24:46.401655
52,53,TeamDev,431848,2021-07-12 08:24:46.401655
53,54,Wheezards,427297,2021-07-12 08:24:46.401655
54,55,EgÃ©r a marson,420463,2021-07-12 08:24:46.401655
55,56,seladir (cw),410082,2021-07-12 08:24:46.401655
56,57,Raging Mushrooms,408618,2021-07-12 08:24:46.401655
57,58,Eldies,396203,2021-07-12 08:24:46.401655
58,59,mutability,384600,2021-07-12 08:24:46.401655
59,60,'; CREATE TABLE fun(); --,375508,2021-07-12 08:24:46.401655
60,61,Vanilla Bears,366643,2021-07-12 08:24:46.401655
61,62,The PET in the wall,363357,2021-07-12 08:24:46.401655
62,63,Channable,362634,2021-07-12 08:24:46.401655
63,64,blue-poser,360847,2021-07-12 08:24:46.401655
64,65,ATS,353271,2021-07-12 08:24:46.401655
65,66,The Blind Hen,343891,2021-07-12 08:24:46.401655
66,67,Frictionless Bananas,339569,2021-07-12 08:24:46.401655
67,68,Goretz,335045,2021-07-12 08:24:46.401655
68,69,Sigmoid Freud,324450,2021-07-12 08:24:46.401655
69,70,Rogue Operations,308207,2021-07-12 08:24:46.401655
70,71,cashto,305497,2021-07-12 08:24:46.401655
71,72,Nik & Tonsky,304473,2021-07-12 08:24:46.401655
72,73,uguu.org,294517,2021-07-12 08:24:46.401655
73,74,code-o-matic,286781,2021-07-12 08:24:46.401655
74,75,team classified,273103,2021-07-12 08:24:46.401655
75,76,Invisible Imp,269817,2021-07-12 08:24:46.401655
76,77,IKS,265873,2021-07-12 08:24:46.401655
77,78,jabber.ru,259922,2021-07-12 08:24:46.401655
78,79,Bottle kids!,252939,2021-07-12 08:24:46.401655
79,80,xyz600,239592,2021-07-12 08:24:46.401655
80,81,Piggybank Software,234788,2021-07-12 08:24:46.401655
81,82,The aRtful MUser,221909,2021-07-12 08:24:46.401655
82,83,Goto 11,214016,2021-07-12 08:24:46.401655
83,84,make_it_stream,188065,2021-07-12 08:24:46.401655
84,85,Sal's Pals,185695,2021-07-12 08:24:46.401655
85,86,geomon,183040,2021-07-12 08:24:46.401655
86,87,Thirty spokes to make a wheel,171790,2021-07-12 08:24:46.401655
87,88,OMG ICFP FTW,166452,2021-07-12 08:24:46.401655
88,89,yorofuwa,163954,2021-07-12 08:24:46.401655
89,90,We didn't mean to use Python,158619,2021-07-12 08:24:46.401655
90,91,taxidriver,150648,2021-07-12 08:24:46.401655
91,92,Team Sampou,149096,2021-07-12 08:24:46.401655
92,93,paiv,146288,2021-07-12 08:24:46.401655
93,94,blueboars team,137757,2021-07-12 08:24:46.401655
94,95,The Higher Order Of Zeuxis,120437,2021-07-12 08:24:46.401655
95,96,Netvorchesk,119817,2021-07-12 08:24:46.401655
