,place,team,score,captured_at
0,1,Special Weekend,1433592,2021-07-12 05:59:14.514629
1,2,RGBTeam,1414043,2021-07-12 05:59:14.514629
2,3,Unagi,1403527,2021-07-12 05:59:14.514629
3,4,manarimo,1368025,2021-07-12 05:59:14.514629
4,5,chirijako,1232518,2021-07-12 05:59:14.514629
5,6,DiamondPrincess,1144067,2021-07-12 05:59:14.514629
6,7,All your poses are belong to us,1141252,2021-07-12 05:59:14.514629
7,8,All In,1127746,2021-07-12 05:59:14.514629
8,9,fixstars,1024178,2021-07-12 05:59:14.514629
9,10,negainoido,973538,2021-07-12 05:59:14.514629
10,11,WILD BASHKORT MAGES,935983,2021-07-12 05:59:14.514629
11,12,Independent Set,924253,2021-07-12 05:59:14.514629
12,13,301,901978,2021-07-12 05:59:14.514629
13,14,sanma,894063,2021-07-12 05:59:14.514629
14,15,Olympia,890384,2021-07-12 05:59:14.514629
15,16,pegovka,871894,2021-07-12 05:59:14.514629
16,17,Closed and Restricted Boltzmann Machine ,852876,2021-07-12 05:59:14.514629
17,18,CowDay,832555,2021-07-12 05:59:14.514629
18,19,Pigimarl,805355,2021-07-12 05:59:14.514629
19,20,KMC,803453,2021-07-12 05:59:14.514629
20,21,Folding at home,799449,2021-07-12 05:59:14.514629
21,22,iehn,784015,2021-07-12 05:59:14.514629
22,23,Sosuupoyo(sugoi),754151,2021-07-12 05:59:14.514629
23,24,ichyo,736977,2021-07-12 05:59:14.514629
24,25,Powder,735283,2021-07-12 05:59:14.514629
25,26,codingteam,714221,2021-07-12 05:59:14.514629
26,27,bowwowforeach,703598,2021-07-12 05:59:14.514629
27,28,Gon the Fox,697094,2021-07-12 05:59:14.514629
28,29,The Cat is #1!!,667660,2021-07-12 05:59:14.514629
29,30,udfew,639348,2021-07-12 05:59:14.514629
30,31,Aim Tech + Godnotent,635886,2021-07-12 05:59:14.514629
31,32,Side Effects May Include...,628886,2021-07-12 05:59:14.514629
32,33,lambda-llama,627925,2021-07-12 05:59:14.514629
33,34,ã°ã¬ã¼ã¹ããªã,598820,2021-07-12 05:59:14.514629
34,35,Rotten Lambdas,581290,2021-07-12 05:59:14.514629
35,36,undefined,580814,2021-07-12 05:59:14.514629
36,37,Fish-Aobayama,576528,2021-07-12 05:59:14.514629
37,38,THIRTEEN,567234,2021-07-12 05:59:14.514629
38,39,Zebra Infused Hamsters,566017,2021-07-12 05:59:14.514629
39,40,Cult of the Bound Variable,563841,2021-07-12 05:59:14.514629
40,41,TBD,563408,2021-07-12 05:59:14.514629
41,42,kstm.org,529585,2021-07-12 05:59:14.514629
42,43,Skobochka,526265,2021-07-12 05:59:14.514629
43,44,"Snakes, Monkeys and Two Smoking Lambdas",521856,2021-07-12 05:59:14.514629
44,45,uni,507854,2021-07-12 05:59:14.514629
45,46,okaduki,502285,2021-07-12 05:59:14.514629
46,47,ksmlb,464217,2021-07-12 05:59:14.514629
47,48,Chordify,452746,2021-07-12 05:59:14.514629
48,49,Bunny Girl Senpai,446998,2021-07-12 05:59:14.514629
49,50,Yoshida Chicken Rice,446419,2021-07-12 05:59:14.514629
50,51,xyznlp,444399,2021-07-12 05:59:14.514629
51,52,LILiK,443556,2021-07-12 05:59:14.514629
52,53,trup16,434634,2021-07-12 05:59:14.514629
53,54,Wheezards,428804,2021-07-12 05:59:14.514629
54,55,TeamDev,420842,2021-07-12 05:59:14.514629
55,56,Dire Kettle,414954,2021-07-12 05:59:14.514629
56,57,The Wild Lobsters,407257,2021-07-12 05:59:14.514629
57,58,seladir (cw),398665,2021-07-12 05:59:14.514629
58,59,Raging Mushrooms,393725,2021-07-12 05:59:14.514629
59,60,ACCESS_VIOLATION,387535,2021-07-12 05:59:14.514629
60,61,mutability,384600,2021-07-12 05:59:14.514629
61,62,EgÃ©r a marson,384320,2021-07-12 05:59:14.514629
62,63,'; CREATE TABLE fun(); --,376628,2021-07-12 05:59:14.514629
63,64,Vanilla Bears,368111,2021-07-12 05:59:14.514629
64,65,The PET in the wall,366279,2021-07-12 05:59:14.514629
65,66,blue-poser,360847,2021-07-12 05:59:14.514629
66,67,ATS,353271,2021-07-12 05:59:14.514629
67,68,Eldies,348239,2021-07-12 05:59:14.514629
68,69,Goretz,329731,2021-07-12 05:59:14.514629
69,70,Piggybank Software,328862,2021-07-12 05:59:14.514629
70,71,Channable,322673,2021-07-12 05:59:14.514629
71,72,The Blind Hen,319463,2021-07-12 05:59:14.514629
72,73,Sigmoid Freud,317013,2021-07-12 05:59:14.514629
73,74,Rogue Operations,308994,2021-07-12 05:59:14.514629
74,75,We didn't mean to use Python,307808,2021-07-12 05:59:14.514629
