,place,team,score,captured_at
0,1,Unagi,1459727,2021-07-12 11:45:29.558755
1,2,Special Weekend,1426068,2021-07-12 11:45:29.558755
2,3,RGBTeam,1418544,2021-07-12 11:45:29.558755
3,4,manarimo,1352288,2021-07-12 11:45:29.558755
4,5,chirijako,1236712,2021-07-12 11:45:29.558755
5,6,DiamondPrincess,1213908,2021-07-12 11:45:29.558755
6,7,All your poses are belong to us,1187016,2021-07-12 11:45:29.558755
7,8,All In,1115706,2021-07-12 11:45:29.558755
8,9,negainoido,1060057,2021-07-12 11:45:29.558755
9,10,fixstars,1010248,2021-07-12 11:45:29.558755
10,11,sanma,999770,2021-07-12 11:45:29.558755
11,12,WILD BASHKORT MAGES,993006,2021-07-12 11:45:29.558755
12,13,Closed and Restricted Boltzmann Machine ,991182,2021-07-12 11:45:29.558755
13,14,Sosuupoyo(sugoi),928647,2021-07-12 11:45:29.558755
14,15,Independent Set,927073,2021-07-12 11:45:29.558755
15,16,301,903928,2021-07-12 11:45:29.558755
16,17,Pigimarl,903403,2021-07-12 11:45:29.558755
17,18,Olympia,897398,2021-07-12 11:45:29.558755
18,19,Folding at home,870844,2021-07-12 11:45:29.558755
19,20,pegovka,865040,2021-07-12 11:45:29.558755
20,21,The Cat is #1!!,842148,2021-07-12 11:45:29.558755
21,22,CowDay,839297,2021-07-12 11:45:29.558755
22,23,KMC,820180,2021-07-12 11:45:29.558755
23,24,lambda-llama,813988,2021-07-12 11:45:29.558755
24,25,iehn,795537,2021-07-12 11:45:29.558755
25,26,udfew,794341,2021-07-12 11:45:29.558755
26,27,Frictionless Bananas,790340,2021-07-12 11:45:29.558755
27,28,Powder,782663,2021-07-12 11:45:29.558755
28,29,"Snakes, Monkeys and Two Smoking Lambdas",755929,2021-07-12 11:45:29.558755
29,30,ichyo,745720,2021-07-12 11:45:29.558755
30,31,bowwowforeach,744733,2021-07-12 11:45:29.558755
31,32,Gon the Fox,717735,2021-07-12 11:45:29.558755
32,33,codingteam,709086,2021-07-12 11:45:29.558755
33,34,Cult of the Bound Variable,684811,2021-07-12 11:45:29.558755
34,35,Rotten Lambdas,665259,2021-07-12 11:45:29.558755
35,36,Side Effects May Include...,635771,2021-07-12 11:45:29.558755
36,37,Aim Tech + Godnotent,634051,2021-07-12 11:45:29.558755
37,38,Skobochka,598146,2021-07-12 11:45:29.558755
38,39,Fish-Aobayama,591040,2021-07-12 11:45:29.558755
39,40,ã°ã¬ã¼ã¹ããªã,590503,2021-07-12 11:45:29.558755
40,41,Dire Kettle,589285,2021-07-12 11:45:29.558755
41,42,undefined,584856,2021-07-12 11:45:29.558755
42,43,okaduki,581543,2021-07-12 11:45:29.558755
43,44,THIRTEEN,580387,2021-07-12 11:45:29.558755
44,45,TBD,573252,2021-07-12 11:45:29.558755
45,46,Zebra Infused Hamsters,564648,2021-07-12 11:45:29.558755
46,47,trup16,555232,2021-07-12 11:45:29.558755
47,48,EgÃ©r a marson,529417,2021-07-12 11:45:29.558755
48,49,kstm.org,524146,2021-07-12 11:45:29.558755
49,50,Chordify,521638,2021-07-12 11:45:29.558755
50,51,uni,503497,2021-07-12 11:45:29.558755
51,52,ksmlb,501805,2021-07-12 11:45:29.558755
52,53,xyznlp,459252,2021-07-12 11:45:29.558755
53,54,LILiK,457956,2021-07-12 11:45:29.558755
54,55,Raging Mushrooms,454470,2021-07-12 11:45:29.558755
55,56,The Wild Lobsters,448000,2021-07-12 11:45:29.558755
56,57,The Blind Hen,445553,2021-07-12 11:45:29.558755
57,58,Bunny Girl Senpai,445169,2021-07-12 11:45:29.558755
58,59,Yoshida Chicken Rice,443502,2021-07-12 11:45:29.558755
59,60,Wheezards,431104,2021-07-12 11:45:29.558755
60,61,TeamDev,428609,2021-07-12 11:45:29.558755
61,62,Invisible Imp,412616,2021-07-12 11:45:29.558755
62,63,seladir (cw),410347,2021-07-12 11:45:29.558755
63,64,ACCESS_VIOLATION,399562,2021-07-12 11:45:29.558755
64,65,Eldies,395298,2021-07-12 11:45:29.558755
65,66,Nik & Tonsky,384777,2021-07-12 11:45:29.558755
66,67,mutability,382778,2021-07-12 11:45:29.558755
67,68,Vanilla Bears,378569,2021-07-12 11:45:29.558755
68,69,'; CREATE TABLE fun(); --,375170,2021-07-12 11:45:29.558755
69,70,Channable,368323,2021-07-12 11:45:29.558755
70,71,Piggybank Software,363635,2021-07-12 11:45:29.558755
71,72,The PET in the wall,361635,2021-07-12 11:45:29.558755
72,73,blue-poser,359355,2021-07-12 11:45:29.558755
73,74,code-o-matic,357761,2021-07-12 11:45:29.558755
74,75,ATS,353254,2021-07-12 11:45:29.558755
75,76,Goretz,350865,2021-07-12 11:45:29.558755
76,77,We didn't mean to use Python,337752,2021-07-12 11:45:29.558755
77,78,Sigmoid Freud,335353,2021-07-12 11:45:29.558755
78,79,cashto,316687,2021-07-12 11:45:29.558755
79,80,uguu.org,313713,2021-07-12 11:45:29.558755
80,81,Rogue Operations,307498,2021-07-12 11:45:29.558755
81,82,team classified,273082,2021-07-12 11:45:29.558755
82,83,IKS,264049,2021-07-12 11:45:29.558755
83,84,jabber.ru,259917,2021-07-12 11:45:29.558755
84,85,Bottle kids!,257330,2021-07-12 11:45:29.558755
85,86,The aRtful MUser,248983,2021-07-12 11:45:29.558755
86,87,make_it_stream,246756,2021-07-12 11:45:29.558755
87,88,yorofuwa,241031,2021-07-12 11:45:29.558755
88,89,xyz600,239558,2021-07-12 11:45:29.558755
89,90,Sal's Pals,226979,2021-07-12 11:45:29.558755
90,91,Goto 11,214570,2021-07-12 11:45:29.558755
91,92,Team Sampou,212645,2021-07-12 11:45:29.558755
92,93,Thirty spokes to make a wheel,200755,2021-07-12 11:45:29.558755
93,94,OMG ICFP FTW,194737,2021-07-12 11:45:29.558755
94,95,geomon,183034,2021-07-12 11:45:29.558755
95,96,The Higher Order Of Zeuxis,155833,2021-07-12 11:45:29.558755
96,97,taxidriver,151009,2021-07-12 11:45:29.558755
