,place,team,score,captured_at
0,1,Special Weekend,1432275,2021-07-12 04:13:51.984912
1,2,manarimo,1369684,2021-07-12 04:13:51.984912
2,3,RGBTeam,1364275,2021-07-12 04:13:51.984912
3,4,Unagi,1355104,2021-07-12 04:13:51.984912
4,5,chirijako,1233248,2021-07-12 04:13:51.984912
5,6,DiamondPrincess,1145502,2021-07-12 04:13:51.984912
6,7,All In,1139118,2021-07-12 04:13:51.984912
7,8,All your poses are belong to us,1046358,2021-07-12 04:13:51.984912
8,9,fixstars,1025538,2021-07-12 04:13:51.984912
9,10,Independent Set,925502,2021-07-12 04:13:51.984912
10,11,Olympia,894079,2021-07-12 04:13:51.984912
11,12,sanma,888305,2021-07-12 04:13:51.984912
12,13,301,873528,2021-07-12 04:13:51.984912
13,14,WILD BASHKORT MAGES,858886,2021-07-12 04:13:51.984912
14,15,pegovka,848556,2021-07-12 04:13:51.984912
15,16,CowDay,833334,2021-07-12 04:13:51.984912
16,17,negainoido,831356,2021-07-12 04:13:51.984912
17,18,Closed and Restricted Boltzmann Machine ,812022,2021-07-12 04:13:51.984912
18,19,iehn,784907,2021-07-12 04:13:51.984912
19,20,Pigimarl,773277,2021-07-12 04:13:51.984912
20,21,Folding at home,772816,2021-07-12 04:13:51.984912
21,22,KMC,750548,2021-07-12 04:13:51.984912
22,23,Sosuupoyo(sugoi),746410,2021-07-12 04:13:51.984912
23,24,Powder,735722,2021-07-12 04:13:51.984912
24,25,ichyo,714620,2021-07-12 04:13:51.984912
25,26,bowwowforeach,701701,2021-07-12 04:13:51.984912
26,27,Gon the Fox,697288,2021-07-12 04:13:51.984912
27,28,codingteam,686519,2021-07-12 04:13:51.984912
28,29,The Cat is #1!!,662979,2021-07-12 04:13:51.984912
29,30,Aim Tech + Godnotent,635886,2021-07-12 04:13:51.984912
30,31,lambda-llama,627962,2021-07-12 04:13:51.984912
31,32,udfew,609695,2021-07-12 04:13:51.984912
32,33,ã°ã¬ã¼ã¹ããªã,599996,2021-07-12 04:13:51.984912
33,34,Fish-Aobayama,576644,2021-07-12 04:13:51.984912
34,35,THIRTEEN,556440,2021-07-12 04:13:51.984912
35,36,Zebra Infused Hamsters,555771,2021-07-12 04:13:51.984912
36,37,Cult of the Bound Variable,553992,2021-07-12 04:13:51.984912
37,38,Rotten Lambdas,535829,2021-07-12 04:13:51.984912
38,39,undefined,527077,2021-07-12 04:13:51.984912
39,40,TBD,525920,2021-07-12 04:13:51.984912
40,41,Skobochka,518058,2021-07-12 04:13:51.984912
41,42,kstm.org,506284,2021-07-12 04:13:51.984912
42,43,"Snakes, Monkeys and Two Smoking Lambdas",504728,2021-07-12 04:13:51.984912
43,44,Side Effects May Include...,500989,2021-07-12 04:13:51.984912
44,45,okaduki,488912,2021-07-12 04:13:51.984912
45,46,uni,471580,2021-07-12 04:13:51.984912
46,47,Chordify,452746,2021-07-12 04:13:51.984912
47,48,ksmlb,448480,2021-07-12 04:13:51.984912
48,49,Bunny Girl Senpai,446998,2021-07-12 04:13:51.984912
49,50,Yoshida Chicken Rice,446534,2021-07-12 04:13:51.984912
50,51,LILiK,443905,2021-07-12 04:13:51.984912
51,52,trup16,434638,2021-07-12 04:13:51.984912
52,53,Wheezards,407834,2021-07-12 04:13:51.984912
53,54,The Wild Lobsters,407350,2021-07-12 04:13:51.984912
54,55,xyznlp,405471,2021-07-12 04:13:51.984912
55,56,seladir (cw),391390,2021-07-12 04:13:51.984912
56,57,ACCESS_VIOLATION,387883,2021-07-12 04:13:51.984912
57,58,Raging Mushrooms,386502,2021-07-12 04:13:51.984912
58,59,EgÃ©r a marson,385089,2021-07-12 04:13:51.984912
59,60,mutability,384600,2021-07-12 04:13:51.984912
60,61,TeamDev,373782,2021-07-12 04:13:51.984912
61,62,blue-poser,360847,2021-07-12 04:13:51.984912
62,63,ATS,353271,2021-07-12 04:13:51.984912
63,64,Eldies,348507,2021-07-12 04:13:51.984912
64,65,Vanilla Bears,344276,2021-07-12 04:13:51.984912
65,66,'; CREATE TABLE fun(); --,327527,2021-07-12 04:13:51.984912
66,67,The PET in the wall,324360,2021-07-12 04:13:51.984912
67,68,Goretz,314529,2021-07-12 04:13:51.984912
68,69,Rogue Operations,309377,2021-07-12 04:13:51.984912
69,70,Channable,308690,2021-07-12 04:13:51.984912
70,71,We didn't mean to use Python,307813,2021-07-12 04:13:51.984912
71,72,uguu.org,287884,2021-07-12 04:13:51.984912
72,73,The Blind Hen,285533,2021-07-12 04:13:51.984912
73,74,Frictionless Bananas,280606,2021-07-12 04:13:51.984912
74,75,code-o-matic,273352,2021-07-12 04:13:51.984912
75,76,Nik & Tonsky,267183,2021-07-12 04:13:51.984912
76,77,IKS,265873,2021-07-12 04:13:51.984912
77,78,cashto,263629,2021-07-12 04:13:51.984912
78,79,jabber.ru,259922,2021-07-12 04:13:51.984912
79,80,Piggybank Software,258268,2021-07-12 04:13:51.984912
80,81,Sigmoid Freud,255258,2021-07-12 04:13:51.984912
81,82,team classified,244610,2021-07-12 04:13:51.984912
82,83,xyz600,239806,2021-07-12 04:13:51.984912
83,84,Bottle kids!,237481,2021-07-12 04:13:51.984912
84,85,The aRtful MUser,221963,2021-07-12 04:13:51.984912
85,86,Goto 11,214016,2021-07-12 04:13:51.984912
86,87,geomon,183040,2021-07-12 04:13:51.984912
87,88,make_it_stream,167293,2021-07-12 04:13:51.984912
88,89,Team Sampou,149096,2021-07-12 04:13:51.984912
89,90,paiv,147180,2021-07-12 04:13:51.984912
90,91,blueboars team,137757,2021-07-12 04:13:51.984912
91,92,yorofuwa,123852,2021-07-12 04:13:51.984912
92,93,Netvorchesk,119817,2021-07-12 04:13:51.984912
93,94,OMG ICFP FTW,112935,2021-07-12 04:13:51.984912
94,95,Sal's Pals,112223,2021-07-12 04:13:51.984912
95,96,taxidriver,109172,2021-07-12 04:13:51.984912
96,97,The Higher Order Of Zeuxis,100988,2021-07-12 04:13:51.984912
97,98,Thirty spokes to make a wheel,99848,2021-07-12 04:13:51.984912
98,99,Invisible Imp,98290,2021-07-12 04:13:51.984912
99,100,cvnm,78901,2021-07-12 04:13:51.984912
100,101,182020,77800,2021-07-12 04:13:51.984912
101,102,Sjoerd Visscher,67901,2021-07-12 04:13:51.984912
102,103,h25,67775,2021-07-12 04:13:51.984912
103,104,Not Enough TIme,63908,2021-07-12 04:13:51.984912
104,105,Sunspear,61568,2021-07-12 04:13:51.984912
105,106,Tetris Incompetence,58026,2021-07-12 04:13:51.984912
106,107,hayatox,57933,2021-07-12 04:13:51.984912
107,108,Overfull \hbox,56673,2021-07-12 04:13:51.984912
108,109,Lyrical Tokarev,56424,2021-07-12 04:13:51.984912
109,110,The Enigma of Anilambda Fold,56007,2021-07-12 04:13:51.984912
110,111,Corentin,55047,2021-07-12 04:13:51.984912
111,112,Ichigo Nudibranch,54665,2021-07-12 04:13:51.984912
112,113,WinterMUTE,53251,2021-07-12 04:13:51.984912
113,114, Î»x.,44149,2021-07-12 04:13:51.984912
114,115,Office 14,42720,2021-07-12 04:13:51.984912
115,116,NCPLUG,41019,2021-07-12 04:13:51.984912
116,117,raz,39335,2021-07-12 04:13:51.984912
117,118,NashFP,36984,2021-07-12 04:13:51.984912
118,119,dis_functional,30064,2021-07-12 04:13:51.984912
119,120,Free Tacos,27381,2021-07-12 04:13:51.984912
120,121,bymski,27128,2021-07-12 04:13:51.984912
121,122,lost in sente,26734,2021-07-12 04:13:51.984912
122,123,sumoru,26286,2021-07-12 04:13:51.984912
123,124,RAINBOU,26137,2021-07-12 04:13:51.984912
124,125,qr0m4s4n_tÃ¸4m,25397,2021-07-12 04:13:51.984912
125,126,GD,24101,2021-07-12 04:13:51.984912
126,127,R22b,18858,2021-07-12 04:13:51.984912
127,128,mnuyav,17381,2021-07-12 04:13:51.984912
128,129,tanzaku,17381,2021-07-12 04:13:51.984912
129,130,chaos,17337,2021-07-12 04:13:51.984912
130,131,kineto,12979,2021-07-12 04:13:51.984912
131,132,Immutable,10563,2021-07-12 04:13:51.984912
132,133,True Neutrals,10503,2021-07-12 04:13:51.984912
133,134,georgia,10388,2021-07-12 04:13:51.984912
134,135,srush,8882,2021-07-12 04:13:51.984912
135,136,Appelsientje,6201,2021-07-12 04:13:51.984912
136,137,Slow,6115,2021-07-12 04:13:51.984912
137,138,erujolc,5404,2021-07-12 04:13:51.984912
138,139,Bears ate our brains,4322,2021-07-12 04:13:51.984912
139,140,cw,4031,2021-07-12 04:13:51.984912
140,141,scalapendra,4031,2021-07-12 04:13:51.984912
141,142,Codermal,4031,2021-07-12 04:13:51.984912
142,143,B-Team,4031,2021-07-12 04:13:51.984912
143,144,bc,4031,2021-07-12 04:13:51.984912
144,145,AFK,4031,2021-07-12 04:13:51.984912
145,146,nobu,4031,2021-07-12 04:13:51.984912
146,147,concord,4031,2021-07-12 04:13:51.984912
147,148,Foundation,4031,2021-07-12 04:13:51.984912
148,149,Ty chyo pyos?,4031,2021-07-12 04:13:51.984912
149,150,frant1c,3960,2021-07-12 04:13:51.984912
150,151,DNIWE :: a,3522,2021-07-12 04:13:51.984912
151,152,Canivsar,3000,2021-07-12 04:13:51.984912
152,153,O,2170,2021-07-12 04:13:51.984912
153,154,comonad,2170,2021-07-12 04:13:51.984912
154,155,julia,2103,2021-07-12 04:13:51.984912
155,156,balonit_bros,1842,2021-07-12 04:13:51.984912
156,157,gorilla,1454,2021-07-12 04:13:51.984912
