,place,team,score,captured_at
0,1,Special Weekend,1460442,2021-07-12 19:27:07.831761
1,2,RGBTeam,1455040,2021-07-12 19:27:07.831761
2,3,manarimo,1427857,2021-07-12 19:27:07.831761
3,4,chirijako,1335895,2021-07-12 19:27:07.831761
4,5,DiamondPrincess,1334877,2021-07-12 19:27:07.831761
5,6,fixstars,1239061,2021-07-12 19:27:07.831761
6,7,All your poses are belong to us,1211805,2021-07-12 19:27:07.831761
7,8,Frictionless Bananas,1135914,2021-07-12 19:27:07.831761
8,9,Pigimarl,1129571,2021-07-12 19:27:07.831761
9,10,All In,1120899,2021-07-12 19:27:07.831761
10,11,negainoido,1120510,2021-07-12 19:27:07.831761
11,12,sanma,1113424,2021-07-12 19:27:07.831761
12,13,Independent Set,1110783,2021-07-12 19:27:07.831761
13,14,WILD BASHKORT MAGES,1089762,2021-07-12 19:27:07.831761
14,15,Closed and Restricted Boltzmann Machine ,1088382,2021-07-12 19:27:07.831761
15,16,301,1079630,2021-07-12 19:27:07.831761
16,17,Sosuupoyo(sugoi),1041649,2021-07-12 19:27:07.831761
17,18,CowDay,1013226,2021-07-12 19:27:07.831761
18,19,pegovka,963621,2021-07-12 19:27:07.831761
19,20,Gon the Fox,953686,2021-07-12 19:27:07.831761
20,21,"Snakes, Monkeys and Two Smoking Lambdas",950701,2021-07-12 19:27:07.831761
21,22,The Cat is #1!!,943010,2021-07-12 19:27:07.831761
22,23,Folding at home,937719,2021-07-12 19:27:07.831761
23,24,ã°ã¬ã¼ã¹ããªã,917213,2021-07-12 19:27:07.831761
24,25,udfew,907274,2021-07-12 19:27:07.831761
25,26,Olympia,906071,2021-07-12 19:27:07.831761
26,27,Powder,901409,2021-07-12 19:27:07.831761
27,28,KMC,879084,2021-07-12 19:27:07.831761
28,29,codingteam,841043,2021-07-12 19:27:07.831761
29,30,lambda-llama,837639,2021-07-12 19:27:07.831761
30,31,iehn,831818,2021-07-12 19:27:07.831761
31,32,ichyo,829609,2021-07-12 19:27:07.831761
32,33,182020,824685,2021-07-12 19:27:07.831761
33,34,trup16,818523,2021-07-12 19:27:07.831761
34,35,Cult of the Bound Variable,814049,2021-07-12 19:27:07.831761
35,36,bowwowforeach,774952,2021-07-12 19:27:07.831761
36,37,Rotten Lambdas,725061,2021-07-12 19:27:07.831761
37,38,Dire Kettle,714014,2021-07-12 19:27:07.831761
38,39,Zebra Infused Hamsters,695074,2021-07-12 19:27:07.831761
39,40,Fish-Aobayama,687721,2021-07-12 19:27:07.831761
40,41,okaduki,664573,2021-07-12 19:27:07.831761
41,42,TBD,643901,2021-07-12 19:27:07.831761
42,43,undefined,635435,2021-07-12 19:27:07.831761
43,44,Side Effects May Include...,635047,2021-07-12 19:27:07.831761
44,45,Aim Tech + Godnotent,630880,2021-07-12 19:27:07.831761
45,46,EgÃ©r a marson,629006,2021-07-12 19:27:07.831761
46,47,Skobochka,619075,2021-07-12 19:27:07.831761
47,48,The Blind Hen,611852,2021-07-12 19:27:07.831761
48,49,Wheezards,592253,2021-07-12 19:27:07.831761
49,50,THIRTEEN,588541,2021-07-12 19:27:07.831761
50,51,uni,586397,2021-07-12 19:27:07.831761
51,52,Channable,586327,2021-07-12 19:27:07.831761
52,53,ksmlb,570847,2021-07-12 19:27:07.831761
53,54,kstm.org,567195,2021-07-12 19:27:07.831761
54,55,uguu.org,564792,2021-07-12 19:27:07.831761
55,56,Raging Mushrooms,555496,2021-07-12 19:27:07.831761
56,57,Chordify,550895,2021-07-12 19:27:07.831761
57,58,xyznlp,519724,2021-07-12 19:27:07.831761
58,59,OMG ICFP FTW,517973,2021-07-12 19:27:07.831761
59,60,Bottle kids!,508947,2021-07-12 19:27:07.831761
60,61,The Wild Lobsters,487016,2021-07-12 19:27:07.831761
61,62,LILiK,482376,2021-07-12 19:27:07.831761
62,63,Invisible Imp,456283,2021-07-12 19:27:07.831761
63,64,Goretz,450763,2021-07-12 19:27:07.831761
64,65,Bunny Girl Senpai,443819,2021-07-12 19:27:07.831761
65,66,Yoshida Chicken Rice,442275,2021-07-12 19:27:07.831761
66,67,Eldies,429499,2021-07-12 19:27:07.831761
67,68,Sigmoid Freud,425701,2021-07-12 19:27:07.831761
68,69,TeamDev,425633,2021-07-12 19:27:07.831761
69,70,Vanilla Bears,424682,2021-07-12 19:27:07.831761
70,71,seladir (cw),408219,2021-07-12 19:27:07.831761
71,72,ACCESS_VIOLATION,398170,2021-07-12 19:27:07.831761
72,73,code-o-matic,397020,2021-07-12 19:27:07.831761
73,74,Nik & Tonsky,385825,2021-07-12 19:27:07.831761
74,75,NashFP,385320,2021-07-12 19:27:07.831761
75,76,mutability,381445,2021-07-12 19:27:07.831761
76,77,'; CREATE TABLE fun(); --,373296,2021-07-12 19:27:07.831761
77,78,Piggybank Software,359684,2021-07-12 19:27:07.831761
78,79,The PET in the wall,359342,2021-07-12 19:27:07.831761
79,80,blue-poser,358398,2021-07-12 19:27:07.831761
80,81,ATS,351375,2021-07-12 19:27:07.831761
81,82,cashto,349821,2021-07-12 19:27:07.831761
82,83,qr0m4s4n_tÃ¸4m,346087,2021-07-12 19:27:07.831761
83,84,We didn't mean to use Python,337029,2021-07-12 19:27:07.831761
84,85,Rogue Operations,306272,2021-07-12 19:27:07.831761
85,86,Team Sampou,298817,2021-07-12 19:27:07.831761
86,87,make_it_stream,287716,2021-07-12 19:27:07.831761
87,88,yorofuwa,287317,2021-07-12 19:27:07.831761
88,89,The aRtful MUser,284269,2021-07-12 19:27:07.831761
89,90,Thirty spokes to make a wheel,283999,2021-07-12 19:27:07.831761
90,91,team classified,276930,2021-07-12 19:27:07.831761
91,92,IKS,276317,2021-07-12 19:27:07.831761
92,93,jabber.ru,258498,2021-07-12 19:27:07.831761
93,94,xyz600,238582,2021-07-12 19:27:07.831761
94,95,Sal's Pals,226025,2021-07-12 19:27:07.831761
95,96,taxidriver,214627,2021-07-12 19:27:07.831761
96,97,Goto 11,213742,2021-07-12 19:27:07.831761
97,98,Sunspear,197167,2021-07-12 19:27:07.831761
98,99,geomon,182419,2021-07-12 19:27:07.831761
99,100,tanzaku,181267,2021-07-12 19:27:07.831761
100,101,The Higher Order Of Zeuxis,177233,2021-07-12 19:27:07.831761
101,102,bymski,176867,2021-07-12 19:27:07.831761
102,103,WinterMUTE,148657,2021-07-12 19:27:07.831761
103,104,paiv,145601,2021-07-12 19:27:07.831761
104,105,blueboars team,137200,2021-07-12 19:27:07.831761
105,106,Netvorchesk,119246,2021-07-12 19:27:07.831761
106,107,Free Tacos,108314,2021-07-12 19:27:07.831761
107,108,balonit_bros,98074,2021-07-12 19:27:07.831761
108,109,The Enigma of Anilambda Fold,84034,2021-07-12 19:27:07.831761
109,110,GD,82631,2021-07-12 19:27:07.831761
110,111,Corentin,80883,2021-07-12 19:27:07.831761
111,112,cvnm,78086,2021-07-12 19:27:07.831761
112,113,Not Enough TIme,72108,2021-07-12 19:27:07.831761
113,114,Sjoerd Visscher,67901,2021-07-12 19:27:07.831761
114,115,h25,67636,2021-07-12 19:27:07.831761
115,116,Tetris Incompetence,58026,2021-07-12 19:27:07.831761
116,117,hayatox,56835,2021-07-12 19:27:07.831761
117,118,Overfull \hbox,56673,2021-07-12 19:27:07.831761
118,119,Ichigo Nudibranch,54299,2021-07-12 19:27:07.831761
119,120,Lyrical Tokarev,51412,2021-07-12 19:27:07.831761
120,121,raz,44320,2021-07-12 19:27:07.831761
121,122, Î»x.,44149,2021-07-12 19:27:07.831761
122,123,Office 14,42279,2021-07-12 19:27:07.831761
123,124,NCPLUG,41019,2021-07-12 19:27:07.831761
124,125,dis_functional,34486,2021-07-12 19:27:07.831761
125,126,lost in sente,26734,2021-07-12 19:27:07.831761
126,127,sumoru,26286,2021-07-12 19:27:07.831761
127,128,RAINBOU,26115,2021-07-12 19:27:07.831761
128,129,chaos,21677,2021-07-12 19:27:07.831761
129,130,R22b,18858,2021-07-12 19:27:07.831761
130,131,"I, Albatross",17611,2021-07-12 19:27:07.831761
131,132,mnuyav,17057,2021-07-12 19:27:07.831761
132,133,kineto,12979,2021-07-12 19:27:07.831761
133,134,Immutable,10563,2021-07-12 19:27:07.831761
134,135,True Neutrals,10503,2021-07-12 19:27:07.831761
135,136,georgia,10388,2021-07-12 19:27:07.831761
136,137,srush,8882,2021-07-12 19:27:07.831761
137,138,Appelsientje,6201,2021-07-12 19:27:07.831761
138,139,Slow,6115,2021-07-12 19:27:07.831761
139,140,erujolc,5404,2021-07-12 19:27:07.831761
140,141,Junk Food,5390,2021-07-12 19:27:07.831761
141,142,Bears ate our brains,4322,2021-07-12 19:27:07.831761
142,143,AFK,4031,2021-07-12 19:27:07.831761
143,144,bc,4031,2021-07-12 19:27:07.831761
144,145,B-Team,4031,2021-07-12 19:27:07.831761
145,146,Foundation,4031,2021-07-12 19:27:07.831761
146,147,scalapendra,4031,2021-07-12 19:27:07.831761
147,148,concord,4031,2021-07-12 19:27:07.831761
148,149,cw,4031,2021-07-12 19:27:07.831761
149,150,Codermal,4031,2021-07-12 19:27:07.831761
150,151,nobu,4031,2021-07-12 19:27:07.831761
151,152,Ty chyo pyos?,4031,2021-07-12 19:27:07.831761
152,153,frant1c,3960,2021-07-12 19:27:07.831761
153,154,DNIWE :: a,3522,2021-07-12 19:27:07.831761
154,155,Canivsar,3000,2021-07-12 19:27:07.831761
155,156,comonad,2170,2021-07-12 19:27:07.831761
156,157,O,2170,2021-07-12 19:27:07.831761
157,158,julia,1699,2021-07-12 19:27:07.831761
158,159,gorilla,1314,2021-07-12 19:27:07.831761
