,place,team,score,captured_at
0,1,Unagi,1481692,2021-07-12 13:00:45.560927
1,2,Special Weekend,1451285,2021-07-12 13:00:45.560927
2,3,RGBTeam,1417199,2021-07-12 13:00:45.560927
3,4,manarimo,1349925,2021-07-12 13:00:45.560927
4,5,chirijako,1234960,2021-07-12 13:00:45.560927
5,6,DiamondPrincess,1218257,2021-07-12 13:00:45.560927
6,7,All your poses are belong to us,1184053,2021-07-12 13:00:45.560927
7,8,All In,1128001,2021-07-12 13:00:45.560927
8,9,negainoido,1066022,2021-07-12 13:00:45.560927
9,10,fixstars,1008840,2021-07-12 13:00:45.560927
10,11,sanma,998282,2021-07-12 13:00:45.560927
11,12,WILD BASHKORT MAGES,992082,2021-07-12 13:00:45.560927
12,13,Closed and Restricted Boltzmann Machine ,991539,2021-07-12 13:00:45.560927
13,14,Sosuupoyo(sugoi),960580,2021-07-12 13:00:45.560927
14,15,Independent Set,925700,2021-07-12 13:00:45.560927
15,16,301,909729,2021-07-12 13:00:45.560927
16,17,Frictionless Bananas,909088,2021-07-12 13:00:45.560927
17,18,Pigimarl,902274,2021-07-12 13:00:45.560927
18,19,Olympia,896577,2021-07-12 13:00:45.560927
19,20,pegovka,888730,2021-07-12 13:00:45.560927
20,21,Folding at home,869718,2021-07-12 13:00:45.560927
21,22,Powder,859583,2021-07-12 13:00:45.560927
22,23,The Cat is #1!!,859018,2021-07-12 13:00:45.560927
23,24,CowDay,853630,2021-07-12 13:00:45.560927
24,25,"Snakes, Monkeys and Two Smoking Lambdas",820850,2021-07-12 13:00:45.560927
25,26,KMC,819432,2021-07-12 13:00:45.560927
26,27,lambda-llama,813376,2021-07-12 13:00:45.560927
27,28,iehn,798912,2021-07-12 13:00:45.560927
28,29,trup16,796191,2021-07-12 13:00:45.560927
29,30,udfew,793629,2021-07-12 13:00:45.560927
30,31,Gon the Fox,758780,2021-07-12 13:00:45.560927
31,32,ichyo,749475,2021-07-12 13:00:45.560927
32,33,bowwowforeach,746299,2021-07-12 13:00:45.560927
33,34,Cult of the Bound Variable,725016,2021-07-12 13:00:45.560927
34,35,codingteam,708141,2021-07-12 13:00:45.560927
35,36,Rotten Lambdas,671963,2021-07-12 13:00:45.560927
36,37,Side Effects May Include...,638546,2021-07-12 13:00:45.560927
37,38,Aim Tech + Godnotent,633456,2021-07-12 13:00:45.560927
38,39,Zebra Infused Hamsters,620575,2021-07-12 13:00:45.560927
39,40,Dire Kettle,609961,2021-07-12 13:00:45.560927
40,41,Fish-Aobayama,608549,2021-07-12 13:00:45.560927
41,42,okaduki,599981,2021-07-12 13:00:45.560927
42,43,ã°ã¬ã¼ã¹ããªã,589533,2021-07-12 13:00:45.560927
43,44,THIRTEEN,587666,2021-07-12 13:00:45.560927
44,45,undefined,584389,2021-07-12 13:00:45.560927
45,46,Skobochka,579764,2021-07-12 13:00:45.560927
46,47,TBD,575646,2021-07-12 13:00:45.560927
47,48,EgÃ©r a marson,549781,2021-07-12 13:00:45.560927
48,49,kstm.org,548312,2021-07-12 13:00:45.560927
49,50,Chordify,521037,2021-07-12 13:00:45.560927
50,51,ksmlb,516288,2021-07-12 13:00:45.560927
51,52,uni,502762,2021-07-12 13:00:45.560927
52,53,xyznlp,476122,2021-07-12 13:00:45.560927
53,54,LILiK,457504,2021-07-12 13:00:45.560927
54,55,Raging Mushrooms,453941,2021-07-12 13:00:45.560927
55,56,The Wild Lobsters,447242,2021-07-12 13:00:45.560927
56,57,The Blind Hen,445048,2021-07-12 13:00:45.560927
57,58,Bunny Girl Senpai,445015,2021-07-12 13:00:45.560927
58,59,Yoshida Chicken Rice,443359,2021-07-12 13:00:45.560927
59,60,Invisible Imp,434350,2021-07-12 13:00:45.560927
60,61,Wheezards,430680,2021-07-12 13:00:45.560927
61,62,TeamDev,427922,2021-07-12 13:00:45.560927
62,63,seladir (cw),410323,2021-07-12 13:00:45.560927
63,64,ACCESS_VIOLATION,399384,2021-07-12 13:00:45.560927
64,65,Eldies,394676,2021-07-12 13:00:45.560927
65,66,Nik & Tonsky,387766,2021-07-12 13:00:45.560927
66,67,mutability,382638,2021-07-12 13:00:45.560927
67,68,Vanilla Bears,377865,2021-07-12 13:00:45.560927
68,69,'; CREATE TABLE fun(); --,374946,2021-07-12 13:00:45.560927
69,70,Channable,368159,2021-07-12 13:00:45.560927
70,71,Piggybank Software,362810,2021-07-12 13:00:45.560927
71,72,The PET in the wall,361402,2021-07-12 13:00:45.560927
72,73,blue-poser,359415,2021-07-12 13:00:45.560927
73,74,code-o-matic,357406,2021-07-12 13:00:45.560927
74,75,ATS,352994,2021-07-12 13:00:45.560927
75,76,Goretz,350702,2021-07-12 13:00:45.560927
