,place,team,score,captured_at
0,1,Unagi,1484383,2021-07-12 15:31:17.860350
1,2,Special Weekend,1449921,2021-07-12 15:31:17.860350
2,3,RGBTeam,1425444,2021-07-12 15:31:17.860350
3,4,manarimo,1414969,2021-07-12 15:31:17.860350
4,5,DiamondPrincess,1265603,2021-07-12 15:31:17.860350
5,6,chirijako,1251451,2021-07-12 15:31:17.860350
6,7,All your poses are belong to us,1208721,2021-07-12 15:31:17.860350
7,8,All In,1124378,2021-07-12 15:31:17.860350
8,9,negainoido,1069402,2021-07-12 15:31:17.860350
9,10,Closed and Restricted Boltzmann Machine ,1051690,2021-07-12 15:31:17.860350
10,11,sanma,1023561,2021-07-12 15:31:17.860350
11,12,fixstars,1006093,2021-07-12 15:31:17.860350
12,13,WILD BASHKORT MAGES,1006018,2021-07-12 15:31:17.860350
13,14,Sosuupoyo(sugoi),1001377,2021-07-12 15:31:17.860350
14,15,Independent Set,933953,2021-07-12 15:31:17.860350
15,16,Frictionless Bananas,929269,2021-07-12 15:31:17.860350
16,17,CowDay,909401,2021-07-12 15:31:17.860350
17,18,301,907159,2021-07-12 15:31:17.860350
18,19,Olympia,903751,2021-07-12 15:31:17.860350
19,20,pegovka,903527,2021-07-12 15:31:17.860350
20,21,Pigimarl,899913,2021-07-12 15:31:17.860350
21,22,Gon the Fox,892749,2021-07-12 15:31:17.860350
22,23,"Snakes, Monkeys and Two Smoking Lambdas",873383,2021-07-12 15:31:17.860350
23,24,The Cat is #1!!,872707,2021-07-12 15:31:17.860350
24,25,Folding at home,867631,2021-07-12 15:31:17.860350
25,26,Powder,861280,2021-07-12 15:31:17.860350
26,27,udfew,836809,2021-07-12 15:31:17.860350
27,28,KMC,836031,2021-07-12 15:31:17.860350
28,29,trup16,817021,2021-07-12 15:31:17.860350
29,30,iehn,816889,2021-07-12 15:31:17.860350
30,31,lambda-llama,812185,2021-07-12 15:31:17.860350
31,32,Cult of the Bound Variable,787716,2021-07-12 15:31:17.860350
32,33,ichyo,775998,2021-07-12 15:31:17.860350
33,34,ã°ã¬ã¼ã¹ããªã,763308,2021-07-12 15:31:17.860350
34,35,bowwowforeach,741721,2021-07-12 15:31:17.860350
35,36,codingteam,730830,2021-07-12 15:31:17.860350
36,37,Rotten Lambdas,702832,2021-07-12 15:31:17.860350
37,38,Dire Kettle,693375,2021-07-12 15:31:17.860350
38,39,Fish-Aobayama,648692,2021-07-12 15:31:17.860350
39,40,Side Effects May Include...,636505,2021-07-12 15:31:17.860350
40,41,Aim Tech + Godnotent,633152,2021-07-12 15:31:17.860350
41,42,okaduki,627144,2021-07-12 15:31:17.860350
42,43,Zebra Infused Hamsters,618275,2021-07-12 15:31:17.860350
43,44,undefined,589908,2021-07-12 15:31:17.860350
44,45,THIRTEEN,588141,2021-07-12 15:31:17.860350
45,46,Skobochka,578177,2021-07-12 15:31:17.860350
46,47,The Blind Hen,565883,2021-07-12 15:31:17.860350
47,48,kstm.org,549078,2021-07-12 15:31:17.860350
48,49,EgÃ©r a marson,548398,2021-07-12 15:31:17.860350
49,50,ksmlb,544415,2021-07-12 15:31:17.860350
50,51,Chordify,520877,2021-07-12 15:31:17.860350
51,52,xyznlp,512976,2021-07-12 15:31:17.860350
52,53,uni,505636,2021-07-12 15:31:17.860350
53,54,Raging Mushrooms,498404,2021-07-12 15:31:17.860350
