,place,team,score,captured_at
0,1,Special Weekend,1416522,2021-07-12 02:53:34.863663
1,2,RGBTeam,1372805,2021-07-12 02:53:34.863663
2,3,Unagi,1311828,2021-07-12 02:53:34.863663
3,4,manarimo,1271116,2021-07-12 02:53:34.863663
4,5,chirijako,1230644,2021-07-12 02:53:34.863663
5,6,DiamondPrincess,1146877,2021-07-12 02:53:34.863663
6,7,All In,1139563,2021-07-12 02:53:34.863663
7,8,All your poses are belong to us,974943,2021-07-12 02:53:34.863663
8,9,Independent Set,924289,2021-07-12 02:53:34.863663
9,10,negainoido,873754,2021-07-12 02:53:34.863663
10,11,Olympia,869206,2021-07-12 02:53:34.863663
11,12,301,868767,2021-07-12 02:53:34.863663
12,13,pegovka,861496,2021-07-12 02:53:34.863663
13,14,sanma,859465,2021-07-12 02:53:34.863663
14,15,fixstars,837196,2021-07-12 02:53:34.863663
15,16,CowDay,826151,2021-07-12 02:53:34.863663
16,17,WILD BASHKORT MAGES,822075,2021-07-12 02:53:34.863663
17,18,Closed and Restricted Boltzmann Machine ,796825,2021-07-12 02:53:34.863663
18,19,iehn,785018,2021-07-12 02:53:34.863663
19,20,Pigimarl,773834,2021-07-12 02:53:34.863663
20,21,Folding at home,773290,2021-07-12 02:53:34.863663
21,22,Sosuupoyo(sugoi),746802,2021-07-12 02:53:34.863663
22,23,KMC,712147,2021-07-12 02:53:34.863663
23,24,ichyo,709374,2021-07-12 02:53:34.863663
24,25,bowwowforeach,702228,2021-07-12 02:53:34.863663
25,26,Gon the Fox,697872,2021-07-12 02:53:34.863663
26,27,The Cat is #1!!,660250,2021-07-12 02:53:34.863663
27,28,Powder,638957,2021-07-12 02:53:34.863663
28,29,Aim Tech + Godnotent,635886,2021-07-12 02:53:34.863663
29,30,codingteam,621364,2021-07-12 02:53:34.863663
30,31,lambda-llama,610718,2021-07-12 02:53:34.863663
31,32,ã°ã¬ã¼ã¹ããªã,600758,2021-07-12 02:53:34.863663
32,33,udfew,585808,2021-07-12 02:53:34.863663
33,34,Fish-Aobayama,576644,2021-07-12 02:53:34.863663
34,35,THIRTEEN,554607,2021-07-12 02:53:34.863663
35,36,Cult of the Bound Variable,552654,2021-07-12 02:53:34.863663
36,37,Rotten Lambdas,544066,2021-07-12 02:53:34.863663
37,38,undefined,534089,2021-07-12 02:53:34.863663
38,39,Skobochka,521420,2021-07-12 02:53:34.863663
39,40,Zebra Infused Hamsters,519044,2021-07-12 02:53:34.863663
40,41,kstm.org,506482,2021-07-12 02:53:34.863663
41,42,"Snakes, Monkeys and Two Smoking Lambdas",504728,2021-07-12 02:53:34.863663
42,43,Side Effects May Include...,488362,2021-07-12 02:53:34.863663
43,44,okaduki,476390,2021-07-12 02:53:34.863663
44,45,Chordify,452746,2021-07-12 02:53:34.863663
45,46,LILiK,449760,2021-07-12 02:53:34.863663
46,47,Bunny Girl Senpai,446998,2021-07-12 02:53:34.863663
47,48,Yoshida Chicken Rice,446756,2021-07-12 02:53:34.863663
48,49,trup16,434885,2021-07-12 02:53:34.863663
49,50,ksmlb,431367,2021-07-12 02:53:34.863663
50,51,Wheezards,407171,2021-07-12 02:53:34.863663
51,52,cwfork,403212,2021-07-12 02:53:34.863663
52,53,uni,390293,2021-07-12 02:53:34.863663
53,54,ACCESS_VIOLATION,388358,2021-07-12 02:53:34.863663
54,55,mutability,384600,2021-07-12 02:53:34.863663
55,56,xyznlp,379985,2021-07-12 02:53:34.863663
56,57,Raging Mushrooms,372238,2021-07-12 02:53:34.863663
57,58,blue-poser,360847,2021-07-12 02:53:34.863663
58,59,ATS,353271,2021-07-12 02:53:34.863663
59,60,Eldies,349019,2021-07-12 02:53:34.863663
60,61,TBD,348067,2021-07-12 02:53:34.863663
61,62,EgÃ©r a marson,337283,2021-07-12 02:53:34.863663
62,63,'; CREATE TABLE fun(); --,327650,2021-07-12 02:53:34.863663
63,64,TeamDev,323314,2021-07-12 02:53:34.863663
64,65,Goretz,314529,2021-07-12 02:53:34.863663
65,66,Vanilla Bears,314233,2021-07-12 02:53:34.863663
66,67,The PET in the wall,313374,2021-07-12 02:53:34.863663
67,68,Rogue Operations,309605,2021-07-12 02:53:34.863663
68,69,Channable,308690,2021-07-12 02:53:34.863663
69,70,uguu.org,282045,2021-07-12 02:53:34.863663
70,71,Frictionless Bananas,280606,2021-07-12 02:53:34.863663
71,72,The Blind Hen,277103,2021-07-12 02:53:34.863663
72,73,code-o-matic,273352,2021-07-12 02:53:34.863663
73,74,We didn't mean to use Python,272300,2021-07-12 02:53:34.863663
74,75,Nik & Tonsky,267519,2021-07-12 02:53:34.863663
75,76,IKS,264696,2021-07-12 02:53:34.863663
76,77,jabber.ru,259922,2021-07-12 02:53:34.863663
77,78,xyz600,239990,2021-07-12 02:53:34.863663
78,79,Bottle kids!,237481,2021-07-12 02:53:34.863663
79,80,team classified,236805,2021-07-12 02:53:34.863663
80,81,cashto,229138,2021-07-12 02:53:34.863663
81,82,The aRtful MUser,221963,2021-07-12 02:53:34.863663
82,83,Goto 11,214016,2021-07-12 02:53:34.863663
83,84,Sigmoid Freud,196524,2021-07-12 02:53:34.863663
84,85,Piggybank Software,190286,2021-07-12 02:53:34.863663
85,86,geomon,183040,2021-07-12 02:53:34.863663
86,87,The Wild Lobsters,170545,2021-07-12 02:53:34.863663
87,88,make_it_stream,167400,2021-07-12 02:53:34.863663
88,89,Team Sampou,149096,2021-07-12 02:53:34.863663
89,90,paiv,147180,2021-07-12 02:53:34.863663
90,91,blueboars team,137757,2021-07-12 02:53:34.863663
91,92,yorofuwa,123852,2021-07-12 02:53:34.863663
92,93,Netvorchesk,119817,2021-07-12 02:53:34.863663
93,94,OMG ICFP FTW,112935,2021-07-12 02:53:34.863663
