,place,team,score,captured_at
0,1,Unagi,1484366,2021-07-12 15:06:12.532126
1,2,Special Weekend,1451126,2021-07-12 15:06:12.532126
2,3,RGBTeam,1425735,2021-07-12 15:06:12.532126
3,4,manarimo,1416079,2021-07-12 15:06:12.532126
4,5,DiamondPrincess,1260144,2021-07-12 15:06:12.532126
5,6,chirijako,1252658,2021-07-12 15:06:12.532126
6,7,All your poses are belong to us,1194857,2021-07-12 15:06:12.532126
7,8,All In,1125410,2021-07-12 15:06:12.532126
8,9,negainoido,1070415,2021-07-12 15:06:12.532126
9,10,Closed and Restricted Boltzmann Machine ,1032653,2021-07-12 15:06:12.532126
10,11,sanma,1011910,2021-07-12 15:06:12.532126
11,12,fixstars,1007180,2021-07-12 15:06:12.532126
12,13,WILD BASHKORT MAGES,1006372,2021-07-12 15:06:12.532126
13,14,Sosuupoyo(sugoi),1002616,2021-07-12 15:06:12.532126
14,15,Independent Set,934975,2021-07-12 15:06:12.532126
15,16,Frictionless Bananas,930689,2021-07-12 15:06:12.532126
16,17,CowDay,910320,2021-07-12 15:06:12.532126
17,18,301,908128,2021-07-12 15:06:12.532126
18,19,Olympia,904881,2021-07-12 15:06:12.532126
19,20,pegovka,903291,2021-07-12 15:06:12.532126
20,21,Pigimarl,900984,2021-07-12 15:06:12.532126
21,22,Gon the Fox,875583,2021-07-12 15:06:12.532126
22,23,The Cat is #1!!,873588,2021-07-12 15:06:12.532126
23,24,"Snakes, Monkeys and Two Smoking Lambdas",872477,2021-07-12 15:06:12.532126
24,25,Folding at home,868485,2021-07-12 15:06:12.532126
25,26,Powder,861127,2021-07-12 15:06:12.532126
26,27,KMC,836905,2021-07-12 15:06:12.532126
27,28,trup16,817164,2021-07-12 15:06:12.532126
28,29,iehn,816997,2021-07-12 15:06:12.532126
29,30,lambda-llama,812769,2021-07-12 15:06:12.532126
30,31,udfew,792931,2021-07-12 15:06:12.532126
31,32,Cult of the Bound Variable,788714,2021-07-12 15:06:12.532126
32,33,ã°ã¬ã¼ã¹ããªã,764334,2021-07-12 15:06:12.532126
33,34,ichyo,759089,2021-07-12 15:06:12.532126
34,35,bowwowforeach,739062,2021-07-12 15:06:12.532126
35,36,codingteam,713174,2021-07-12 15:06:12.532126
36,37,Rotten Lambdas,699297,2021-07-12 15:06:12.532126
37,38,Dire Kettle,684098,2021-07-12 15:06:12.532126
38,39,Side Effects May Include...,637406,2021-07-12 15:06:12.532126
39,40,Aim Tech + Godnotent,633152,2021-07-12 15:06:12.532126
40,41,okaduki,628328,2021-07-12 15:06:12.532126
41,42,Fish-Aobayama,628263,2021-07-12 15:06:12.532126
42,43,Zebra Infused Hamsters,619328,2021-07-12 15:06:12.532126
43,44,undefined,590707,2021-07-12 15:06:12.532126
44,45,THIRTEEN,588695,2021-07-12 15:06:12.532126
45,46,Skobochka,578961,2021-07-12 15:06:12.532126
46,47,kstm.org,549980,2021-07-12 15:06:12.532126
47,48,EgÃ©r a marson,549275,2021-07-12 15:06:12.532126
48,49,ksmlb,545299,2021-07-12 15:06:12.532126
49,50,Chordify,520877,2021-07-12 15:06:12.532126
50,51,TBD,506779,2021-07-12 15:06:12.532126
51,52,uni,506023,2021-07-12 15:06:12.532126
52,53,xyznlp,503248,2021-07-12 15:06:12.532126
53,54,Raging Mushrooms,484849,2021-07-12 15:06:12.532126
54,55,The Blind Hen,475451,2021-07-12 15:06:12.532126
55,56,Bottle kids!,468578,2021-07-12 15:06:12.532126
56,57,LILiK,448394,2021-07-12 15:06:12.532126
57,58,The Wild Lobsters,448249,2021-07-12 15:06:12.532126
58,59,Bunny Girl Senpai,445015,2021-07-12 15:06:12.532126
59,60,Yoshida Chicken Rice,443345,2021-07-12 15:06:12.532126
60,61,Invisible Imp,438587,2021-07-12 15:06:12.532126
61,62,Wheezards,435889,2021-07-12 15:06:12.532126
62,63,TeamDev,427424,2021-07-12 15:06:12.532126
63,64,seladir (cw),410240,2021-07-12 15:06:12.532126
64,65,ACCESS_VIOLATION,399230,2021-07-12 15:06:12.532126
65,66,Eldies,394056,2021-07-12 15:06:12.532126
66,67,Nik & Tonsky,387701,2021-07-12 15:06:12.532126
67,68,mutability,382593,2021-07-12 15:06:12.532126
68,69,Vanilla Bears,377434,2021-07-12 15:06:12.532126
69,70,'; CREATE TABLE fun(); --,374644,2021-07-12 15:06:12.532126
70,71,uguu.org,368491,2021-07-12 15:06:12.532126
71,72,Channable,368076,2021-07-12 15:06:12.532126
72,73,Goretz,366067,2021-07-12 15:06:12.532126
73,74,Piggybank Software,362332,2021-07-12 15:06:12.532126
74,75,The PET in the wall,360695,2021-07-12 15:06:12.532126
75,76,blue-poser,359415,2021-07-12 15:06:12.532126
76,77,code-o-matic,357231,2021-07-12 15:06:12.532126
77,78,NashFP,355728,2021-07-12 15:06:12.532126
78,79,ATS,352604,2021-07-12 15:06:12.532126
79,80,qr0m4s4n_tÃ¸4m,348195,2021-07-12 15:06:12.532126
80,81,Sigmoid Freud,338005,2021-07-12 15:06:12.532126
81,82,We didn't mean to use Python,337522,2021-07-12 15:06:12.532126
82,83,cashto,316492,2021-07-12 15:06:12.532126
83,84,Rogue Operations,307212,2021-07-12 15:06:12.532126
84,85,team classified,272658,2021-07-12 15:06:12.532126
85,86,IKS,271147,2021-07-12 15:06:12.532126
86,87,jabber.ru,259770,2021-07-12 15:06:12.532126
87,88,yorofuwa,250169,2021-07-12 15:06:12.532126
88,89,The aRtful MUser,248648,2021-07-12 15:06:12.532126
89,90,OMG ICFP FTW,247479,2021-07-12 15:06:12.532126
90,91,make_it_stream,246197,2021-07-12 15:06:12.532126
91,92,Thirty spokes to make a wheel,243530,2021-07-12 15:06:12.532126
92,93,xyz600,239412,2021-07-12 15:06:12.532126
93,94,Team Sampou,228491,2021-07-12 15:06:12.532126
94,95,Sal's Pals,226812,2021-07-12 15:06:12.532126
95,96,Goto 11,214397,2021-07-12 15:06:12.532126
96,97,geomon,182995,2021-07-12 15:06:12.532126
97,98,tanzaku,182033,2021-07-12 15:06:12.532126
98,99,The Higher Order Of Zeuxis,164618,2021-07-12 15:06:12.532126
99,100,taxidriver,150844,2021-07-12 15:06:12.532126
100,101,WinterMUTE,149394,2021-07-12 15:06:12.532126
101,102,bymski,148883,2021-07-12 15:06:12.532126
102,103,paiv,146004,2021-07-12 15:06:12.532126
103,104,blueboars team,137606,2021-07-12 15:06:12.532126
104,105,Netvorchesk,119721,2021-07-12 15:06:12.532126
105,106,Free Tacos,108642,2021-07-12 15:06:12.532126
106,107,Sunspear,107109,2021-07-12 15:06:12.532126
107,108,balonit_bros,92883,2021-07-12 15:06:12.532126
108,109,182020,89114,2021-07-12 15:06:12.532126
109,110,The Enigma of Anilambda Fold,84034,2021-07-12 15:06:12.532126
110,111,cvnm,78755,2021-07-12 15:06:12.532126
111,112,Corentin,73261,2021-07-12 15:06:12.532126
112,113,Not Enough TIme,72108,2021-07-12 15:06:12.532126
113,114,GD,72091,2021-07-12 15:06:12.532126
114,115,Sjoerd Visscher,67901,2021-07-12 15:06:12.532126
115,116,h25,67684,2021-07-12 15:06:12.532126
116,117,Tetris Incompetence,58026,2021-07-12 15:06:12.532126
117,118,hayatox,57760,2021-07-12 15:06:12.532126
118,119,Overfull \hbox,56673,2021-07-12 15:06:12.532126
119,120,Ichigo Nudibranch,54610,2021-07-12 15:06:12.532126
120,121,Lyrical Tokarev,51530,2021-07-12 15:06:12.532126
121,122,raz,44320,2021-07-12 15:06:12.532126
122,123, Î»x.,44149,2021-07-12 15:06:12.532126
123,124,Office 14,42720,2021-07-12 15:06:12.532126
124,125,NCPLUG,41019,2021-07-12 15:06:12.532126
125,126,dis_functional,29960,2021-07-12 15:06:12.532126
126,127,lost in sente,26734,2021-07-12 15:06:12.532126
127,128,sumoru,26286,2021-07-12 15:06:12.532126
128,129,RAINBOU,26093,2021-07-12 15:06:12.532126
129,130,chaos,21677,2021-07-12 15:06:12.532126
130,131,R22b,18858,2021-07-12 15:06:12.532126
131,132,"I, Albatross",17611,2021-07-12 15:06:12.532126
132,133,mnuyav,17376,2021-07-12 15:06:12.532126
133,134,kineto,12979,2021-07-12 15:06:12.532126
134,135,Immutable,10563,2021-07-12 15:06:12.532126
135,136,True Neutrals,10503,2021-07-12 15:06:12.532126
136,137,georgia,10388,2021-07-12 15:06:12.532126
137,138,srush,8882,2021-07-12 15:06:12.532126
138,139,Appelsientje,6201,2021-07-12 15:06:12.532126
139,140,Slow,6115,2021-07-12 15:06:12.532126
140,141,erujolc,5404,2021-07-12 15:06:12.532126
141,142,Bears ate our brains,4322,2021-07-12 15:06:12.532126
142,143,AFK,4031,2021-07-12 15:06:12.532126
143,144,B-Team,4031,2021-07-12 15:06:12.532126
144,145,nobu,4031,2021-07-12 15:06:12.532126
145,146,cw,4031,2021-07-12 15:06:12.532126
146,147,Foundation,4031,2021-07-12 15:06:12.532126
147,148,scalapendra,4031,2021-07-12 15:06:12.532126
