,place,team,score,captured_at
0,1,Unagi,1482223,2021-07-12 14:00:58.789853
1,2,Special Weekend,1448577,2021-07-12 14:00:58.789853
2,3,RGBTeam,1423150,2021-07-12 14:00:58.789853
3,4,manarimo,1416146,2021-07-12 14:00:58.789853
4,5,DiamondPrincess,1249875,2021-07-12 14:00:58.789853
5,6,chirijako,1234353,2021-07-12 14:00:58.789853
6,7,All your poses are belong to us,1194939,2021-07-12 14:00:58.789853
7,8,All In,1125472,2021-07-12 14:00:58.789853
8,9,negainoido,1070044,2021-07-12 14:00:58.789853
9,10,fixstars,1007226,2021-07-12 14:00:58.789853
10,11,WILD BASHKORT MAGES,1004592,2021-07-12 14:00:58.789853
11,12,Closed and Restricted Boltzmann Machine ,1002492,2021-07-12 14:00:58.789853
12,13,sanma,997879,2021-07-12 14:00:58.789853
13,14,Sosuupoyo(sugoi),969998,2021-07-12 14:00:58.789853
14,15,Independent Set,935026,2021-07-12 14:00:58.789853
15,16,Frictionless Bananas,930763,2021-07-12 14:00:58.789853
16,17,301,908198,2021-07-12 14:00:58.789853
17,18,Olympia,904572,2021-07-12 14:00:58.789853
18,19,Pigimarl,901040,2021-07-12 14:00:58.789853
19,20,pegovka,888417,2021-07-12 14:00:58.789853
20,21,CowDay,885126,2021-07-12 14:00:58.789853
21,22,The Cat is #1!!,871597,2021-07-12 14:00:58.789853
22,23,Folding at home,868537,2021-07-12 14:00:58.789853
23,24,Powder,861136,2021-07-12 14:00:58.789853
24,25,"Snakes, Monkeys and Two Smoking Lambdas",841438,2021-07-12 14:00:58.789853
25,26,Gon the Fox,838865,2021-07-12 14:00:58.789853
26,27,KMC,836937,2021-07-12 14:00:58.789853
27,28,iehn,813163,2021-07-12 14:00:58.789853
28,29,lambda-llama,812769,2021-07-12 14:00:58.789853
29,30,trup16,811665,2021-07-12 14:00:58.789853
30,31,udfew,792980,2021-07-12 14:00:58.789853
31,32,Cult of the Bound Variable,779724,2021-07-12 14:00:58.789853
32,33,ichyo,761228,2021-07-12 14:00:58.789853
33,34,bowwowforeach,745318,2021-07-12 14:00:58.789853
34,35,ã°ã¬ã¼ã¹ããªã,726632,2021-07-12 14:00:58.789853
35,36,codingteam,707371,2021-07-12 14:00:58.789853
36,37,Rotten Lambdas,684209,2021-07-12 14:00:58.789853
37,38,Dire Kettle,664004,2021-07-12 14:00:58.789853
38,39,Side Effects May Include...,637464,2021-07-12 14:00:58.789853
39,40,Aim Tech + Godnotent,633152,2021-07-12 14:00:58.789853
40,41,Zebra Infused Hamsters,619387,2021-07-12 14:00:58.789853
41,42,Fish-Aobayama,608301,2021-07-12 14:00:58.789853
42,43,okaduki,598427,2021-07-12 14:00:58.789853
43,44,undefined,590748,2021-07-12 14:00:58.789853
44,45,THIRTEEN,584045,2021-07-12 14:00:58.789853
45,46,Skobochka,579004,2021-07-12 14:00:58.789853
46,47,EgÃ©r a marson,549325,2021-07-12 14:00:58.789853
47,48,kstm.org,547526,2021-07-12 14:00:58.789853
